SID,MAX_WIND_SPEED,MAX_WIND_PRESSURE
1950249N15115,48,999
2005202N13138,54,1004
2001347N04162,116,1002
1981261N25174,68,1010
1983334N09142,48,1004
1954247N19152,165,1004
1956254N20128,23,1002
1977228N19133,48,1006
1962211N09153,145,1002
1966254N17160,77,1000
1997238N19112,38,1004
1952260N17119,38,1003
1983311N15161,38,1008
1990171N11148,87,1004
2000222N14143,68,1002
1968235N15135,23,1004
1988263N15126,68,1002
1979219N15138,77,1002
1981166N11135,77,1004
1989142N11114,58,1002
1989279N07151,77,1000
2018195N19138,44,1002
1960260N14119,29,1000
2024267N29129,34,1002
2015263N14148,112,1010
1975289N13129,29,1002
1968250N24120,29,997
2009228N11163,103,1005
1989026N11127,29,1004
1969256N19156,29,1006
1977224N23149,29,1000
1998217N10130,48,1004
1969328N09138,58,1005
1972251N12137,68,1004
1971201N24120,38,997
1987230N25136,29,1008
2024225N24147,34,1005
1957261N10147,155,1008
1986221N17163,77,1004
2007291N19148,87,1004
1967350N10135,58,1004
1961213N12134,97,1008
1984227N21135,29,1001
2016288N06146,132,1004
2019242N14180,97,1002
1971274N06134,116,1005
1986309N07162,58,1006
1961298N17166,77,1006
2004158N07142,58,1008
1949206N18114,58,1001
1952180N05144,87,1002
1968320N07168,87,1004
1972161N16123,23,1004
1984277N07151,68,1000
1955174N11114,68,1000
1961207N20143,87,1004
1978260N18124,29,1004
1963349N12131,68,1006
1986112N02152,58,1004
1997265N10175,106,1008
1968325N05168,116,1010
1967323N23119,38,1005
1952162N15118,77,1002
1986225N17134,116,1000
1978192N19154,77,1008
1991196N06153,68,1005
2017200N26162,101,1008
1997210N15120,58,998
1976172N11141,97,1004
1978252N18166,87,1006
2003319N13172,116,1002
1959261N11143,29,1004
1966230N18149,106,1004
2021265N11150,116,1002
1992027N05206,38,1008
1949199N11139,97,1000
1992277N16140,106,1006
2013220N12137,116,1006
2021198N19117,73,1002
2000305N06136,64,1004
1964316N13117,68,1004
1952363N06171,116,1006
1974227N17126,58,1002
1983229N15140,38,1006
2018263N12146,116,1002
1977284N24153,38,1010
2003144N16119,48,1000
1984291N13130,58,1005
1977211N20138,38,1004
1997165N12139,77,1008
1966280N13154,97,1004
1990140N09122,29,1005
1970282N08147,145,1007
1978240N27151,48,1004
1982286N17145,29,1007
1956242N16132,87,1002
1979098N02144,87,1007
1978272N19154,68,1002
1952221N23125,29,1000
1979254N10140,58,1008
1978165N20138,48,1002
1965205N07163,126,1003
2009219N19140,38,1002
1997252N10171,87,1000
1971311N06141,126,1005
1979290N11112,29,1010
1994348N04175,48,1006
2013255N20148,58,1008
1995279N15153,38,1002
2013259N17132,116,1006
1989286N14137,106,1000
1994231N12157,87,1007
1967211N25128,38,1000
1996254N13138,97,1000
1958326N10119,48,1002
1998327N09126,38,998
1952303N09149,145,1003
1963196N10146,68,1004
2016211N11128,73,1002
2021132N06132,29,1005
1979275N06159,155,1004
1996225N23108,29,1002
1974197N11147,116,1002
1956081N02154,116,1006
1996307N09154,106,1000
2014249N14118,29,1004
1993229N10159,68,1005
1999231N30181,48,1006
1995206N15133,58,1004
2009272N07164,126,1002
1952171N12130,87,1006
1956270N22117,29,1006
2003267N15140,68,1006
2008135N16125,44,1000
1950345N06172,58,1005
1970166N17111,29,1004
1988214N18116,29,1002
2020263N21136,58,1002
2010249N24125,68,1006
2004219N15137,87,1002
1963232N14118,29,1004
1965015N10131,29,1006
1973229N20134,58,1004
2005316N05134,64,1002
1950221N19124,68,1000
1963191N15131,29,1006
1973193N13111,68,1004
1970305N10111,48,1007
1972238N24165,48,1008
1953220N29135,23,1006
1968155N13160,38,1010
1956187N12126,68,1000
1993105N06165,29,1010
2017288N09138,112,1004
1967235N13130,23,1000
1980270N13165,97,1006
1996203N12152,106,1004
2008311N08128,48,1006
1990202N14110,29,1004
1964225N18128,77,1002
2000141N18116,29,1005
1978222N11131,48,1004
1953204N20121,23,1005
2015171N15112,48,1002
1991289N06156,116,1005
