SID,MAX_WIND_SPEED,MAX_WIND_PRESSURE
1961014N07141,40,1004
1961058N06132,35,1008
1961081N08148,120,1005
1961100N10110,35,1006
1961135N12121,65,998
1961141N09135,115,996
1961144N17112,30,1004
1961151N08147,30,1008
1961155N16110,25,1002
1961171N11115,60,1006
1961173N09139,40,1002
1961175N19128,25,1000
1961177N27134,30,1000
1961188N10147,70,1000
1961193N12146,45,1000
1961198N18134,40,1000
1961204N12147,80,1000
1961207N20143,70,1000
1961213N12134,90,1000
1961218N10138,30,1005
1961222N17120,25,1000
1961225N14143,70,1006
1961226N14126,25,1004
1961226N17141,25,1002
1961230N17119,30,1000
1961231N12134,105,1004
1961237N16151,25,1008
1961241N20155,45,1000
1961247N15127,60,1000
1961248N18155,140,1000
1961250N07173,165,1000
1961264N12130,60,1002
1961265N11156,65,1006
1961269N11161,125,1000
1961276N22152,160,1005
1961279N17119,45,996
1961291N08159,65,990
1961291N12120,35,1008
1961298N17166,75,1006
1961312N14153,125,990
1961325N08128,30,1008
1961339N08137,115,1010
1962033N06129,45,1012
1962106N10143,115,985
1962135N07132,75,1008
1962139N11110,30,1006
1962145N08133,45,1004
1962187N17129,70,1000
1962189N09134,25,1006
1962190N17116,30,1000
1962198N15124,75,1002
1962198N16113,25,1002
1962202N20158,70,1000
1962206N14140,70,998
1962209N13149,35,1005
1962211N09153,130,1002
1962217N10142,55,1006
1962224N11151,140,1004
1962226N22128,70,1006
1962226N25162,25,1006
1962232N17149,105,1003
1962236N20131,65,1005
1962237N07155,100,1002
1962241N14150,125,1004
1962248N08143,25,1008
1962254N11123,45,1000
1962254N22166,30,1006
1962261N15121,60,1004
1962263N32154,30,1010
1962266N12133,25,1006
1962268N12144,90,1006
1962272N10161,130,986
1962274N16158,90,1000
1962292N11119,35,1002
1962292N11139,100,997
1962294N21153,25,1008
1962300N12140,90,997
1962308N08138,75,1010
1962311N06154,140,985
1962327N05144,90,1004
1962335N10113,45,1008
1962340N07141,55,1002
1963116N08146,110,990
1963147N12135,70,1002
1963158N20116,45,998
1963163N13135,125,990
1963167N09156,60,996
1963182N11144,45,1006
1963190N15149,120,995
1963196N10146,75,1002
1963207N13151,115,1005
1963208N11118,30,1004
1963219N09146,110,1007
1963232N14118,30,1004
1963235N17164,90,995
1963236N22137,90,1002
1963237N16119,25,1002
1963240N09157,100,998
1963247N18145,120,1000
1963251N13151,35,1007
1963260N10153,35,1006
1963270N08154,130,994
1963276N10140,120,1000
1963279N07165,115,1005
1963287N19164,90,993
1963291N12156,35,1004
1963296N15164,70,997
1963343N10130,65,1006
1963349N12131,60,1006
1963352N02174,120,1002
1964133N10134,75,1007
1964138N13144,25,1004
1964143N13112,65,994
1964177N09142,90,1003
1964178N12149,55,1002
1964184N22133,80,996
1964187N07150,125,1000
1964193N10145,70,1004
1964196N17144,90,1003
1964204N14137,25,1006
1964206N18128,70,990
1964208N17142,45,1006
1964209N17150,115,1000
1964215N07150,120,1004
1964222N10144,40,1006
1964224N25161,100,998
1964225N16139,35,1002
1964225N18128,65,1000
1964230N25156,30,1004
1964234N20107,40,998
1964238N16172,50,1000
1964245N20132,105,1002
1964246N16144,25,1006
1964247N09159,150,990
1964256N17141,95,996
1964257N13118,60,1000
1964261N12149,130,990
1964267N17120,40,1000
1964269N12142,45,1004
1964276N07142,70,1000
1964278N07156,80,998
1964282N09168,35,1002
1964287N13165,45,1006
1964291N11143,45,1004
1964295N07158,70,1004
1964295N08148,25,1006
1964305N12128,55,1004
1964309N11132,50,1006
1964316N13117,70,1004
1964319N08141,145,1004
1964332N12120,45,1006
1964344N06153,150,1000
1964346N04176,25,1000
1965017N12126,60,1002
1965021N07151,60,1002
1965046N07114,40,1006
1965046N09140,30,1004
1965065N10128,40,1006
1965101N06158,50,1004
1965140N09134,90,1001
1965149N18113,60,995
1965150N18109,60,1004
1965161N09151,140,1005
1965169N08142,50,1002
1965187N08144,125,998
1965187N14130,30,1006
1965194N06156,50,1006
1965200N10152,90,1002
1965205N07163,125,1005
1965208N14133,60,995
1965214N24139,60,1002
1965226N17116,60,1004
1965226N20139,130,995
1965227N12173,130,1000
1965238N14144,130,980
1965241N19118,40,998
1965242N15139,90,991
1965244N09145,115,981
1965251N11143,115,984
1965256N13149,55,997
1965259N08153,65,1002
1965266N12112,45,1003
1965269N08156,130,980
1965274N09162,130,1007
1965283N08168,75,1000
1965309N08112,45,1004
1965317N09169,120,1007
1965352N09111,35,1008
1966093N07166,75,1004
1966130N06139,105,1007
1966141N16117,60,1002
1966171N09151,150,1002
1966189N11127,60,1004
1966195N18135,60,1001
1966197N18143,60,1005
1966204N16116,60,997
1966210N11113,35,1000
1966214N15145,60,1000
1966222N25140,60,997
1966223N16118,60,1001
1966230N18149,80,996
1966230N27132,60,995
1966234N18169,45,994
1966236N13144,115,1000
1966241N17147,130,1004
1966244N18165,40,1006
1966247N17137,60,996
1966252N16151,60,997
1966252N17112,100,996
1966254N17160,60,985
1966259N15142,60,1000
1966261N13158,90,1004
1966262N11160,85,997
1966280N13154,90,1003
1966294N09115,30,1006
1966299N10137,55,1000
1966302N10161,40,1000
1966303N14168,90,1000
1966321N09138,55,1004
1966325N08140,50,1004
1966358N07139,80,1005
1967028N05140,40,1004
1967059N02145,75,1005
1967075N08148,60,1004
1967091N04151,105,1006
1967128N06137,40,1006
1967175N10142,60,1002
1967181N09148,60,1003
1967183N20155,90,994
1967200N16136,55,1006
1967200N19148,60,995
1967206N15153,70,1002
1967209N16113,60,1000
1967209N17139,60,1000
1967215N20166,45,1000
1967220N17119,30,1002
1967221N18132,45,1000
1967222N10145,40,998
1967227N19144,50,1002
1967228N14132,60,995
1967229N21164,55,1000
1967235N13130,25,1002
1967235N18144,110,1006
1967237N15140,60,1001
1967241N15170,135,1000
1967246N21124,45,1004
1967248N23168,95,1000
1967252N11211,100,985
1967253N29167,45,1002
1967256N18163,45,1002
1967259N17145,85,986
1967268N06165,70,997
1967278N15119,25,1007
1967280N20150,95,990
1967283N11150,140,1002
1967289N09149,90,997
1967303N07150,125,1004
1967310N11129,60,990
1967311N09160,115,984
1967320N10171,95,1006
1967350N10135,55,1000
1968057N07133,30,1008
1968097N05157,95,1003
1968149N10150,90,997
1968178N13156,95,1000
1968201N13152,115,1001
1968202N19133,70,1000
1968203N18119,45,995
1968217N17163,70,1000
1968218N15141,60,1000
1968220N18166,25,1002
1968227N14145,80,1002
1968235N20138,55,1000
1968237N21177,45,1000
1968240N11173,130,1002
1968240N15151,125,995
1968243N23120,60,998
1968256N16148,105,1001
1968259N16152,95,991
1968266N06142,130,1006
1968275N13161,110,1000
1968286N07142,80,1003
1968290N14118,45,1000
1968292N09165,70,1004
1968295N09169,105,1000
1968300N10166,60,1005
1968311N08165,90,998
1968314N08138,65,1006
1968320N07168,65,1004
1968325N05168,105,1000
1969016N07177,75,1003
1969066N05170,35,1008
1969105N06148,95,1001
1969187N09131,60,1000
1969201N04151,115,1000
1969203N14117,30,1000
1969208N12145,50,1000
1969213N21140,45,995
1969216N09143,65,1009
1969225N10150,75,1003
1969241N10127,70,995
1969250N20119,30,1000
1969251N13111,25,998
1969252N12143,30,1000
1969256N19156,25,1008
1969259N15165,130,1000
1969270N13139,60,1000
1969271N23163,85,1000
1969279N11158,95,1004
1969287N11150,110,1005
1969299N10142,90,1000
1969306N08156,110,1005
1969328N09138,45,1002
1969352N10146,40,1004
1970050N07151,105,991
1970162N17116,25,998
1970177N07142,40,1002
1970178N07153,125,993
1970190N12140,45,1002
1970200N24161,35,1000
1970207N21139,30,1000
1970209N25140,25,1006
1970211N27183,35,1000
1970215N21137,40,1004
1970219N18140,90,1002
1970225N12149,120,995
1970228N17117,30,998
1970233N15138,95,1000
1970237N28154,75,995
1970245N19131,45,996
1970246N14142,45,1000
1970250N15140,125,1001
1970261N09140,25,1004
1970262N13175,130,1005
1970275N11112,90,994
1970277N10151,25,1006
1970282N08147,130,1000
1970286N06143,115,985
1970296N07134,40,1002
1970299N10157,40,1008
1970305N10111,25,1004
1970315N08128,40,1006
1970318N13157,120,1006
1970324N05143,25,1004
1971008N08143,45,1000
1971074N06134,40,1000
1971098N08142,80,1005
1971112N11132,60,1004
1971118N05155,130,1007
1971122N14120,45,1006
1971137N10129,45,1006
1971141N07156,75,1002
1971147N09139,35,1002
1971160N10135,70,1001
1971173N09136,80,1007
1971181N09138,110,993
1971185N23137,55,1000
1971189N12130,50,1002
1971190N09141,75,1004
1971192N07153,115,1004
1971195N24183,70,1000
1971200N11144,130,1006
1971205N10153,75,1000
1971216N11143,50,1004
1971218N08161,105,995
1971222N23155,80,1002
1971231N24151,90,996
1971235N23166,35,1000
1971240N11113,25,1006
1971242N09135,70,1007
1971246N22172,115,995
1971251N18127,65,1000
1971258N20158,125,994
1971266N16145,45,1006
1971267N12130,65,1000
1971274N06134,90,998
1971275N10176,55,1000
1971280N09141,35,1002
1971281N16134,55,989
1971291N11134,80,1000
1971311N06141,135,1003
1971319N06108,40,1002
1972004N10142,105,998
1972148N07168,85,1002
1972152N09146,40,1004
1972153N14117,45,1004
1972161N16123,25,1004
1972174N11137,65,1006
1972187N08161,105,1006
1972187N09150,130,1006
1972187N11126,65,1000
1972189N11171,110,1002
1972202N11165,55,1004
1972210N07162,80,1000
1972210N21132,45,998
1972221N11151,120,1006
1972234N17128,55,1000
1972238N24165,45,1002
1972244N12123,60,999
1972251N12137,60,1004
1972254N14145,90,1004
1972255N15130,45,1008
1972256N10162,25,1002
1972260N16152,95,995
1972271N15125,45,1000
1972272N12167,45,990
1972278N14171,100,995
1972289N14173,90,1000
1972295N07178,90,995
1972307N18144,95,1006
1972316N05185,100,1008
1972335N06142,95,1006
1972335N08116,70,1007
1972347N06171,45,1005
1973179N11128,45,1000
1973184N11110,65,1000
1973192N10129,115,993
1973193N13111,75,998
1973193N26164,40,1000
1973197N20136,90,1004
1973204N10141,35,1008
1973217N19123,65,996
1973219N17142,75,1002
1973220N23159,40,1010
1973222N25168,25,1010
1973229N20134,40,1002
1973232N17124,45,998
1973240N18112,25,1004
1973242N12136,60,998
1973253N14129,70,1004
1973274N10136,140,1003
1973277N11114,70,1002
1973278N13144,125,1008
1973284N12144,80,1000
1973313N12116,45,1004
1973317N08122,45,1006
1973320N05142,50,1010
1974008N07132,50,1004
1974072N08147,40,1004
1974115N07150,55,1002
1974121N09154,70,1004
1974156N06144,70,1008
1974157N18112,25,1000
1974163N08141,55,1001
1974168N17147,40,998
1974177N17153,80,985
1974194N10151,40,1006
1974196N16133,50,1004
1974197N11147,85,1002
1974203N21165,50,1000
1974219N16117,35,998
1974222N15149,60,996
1974224N21111,25,994
1974227N17126,45,1002
1974234N28121,30,998
1974236N18154,85,1003
1974237N21117,45,1000
1974238N23125,25,998
1974245N24123,70,1002
1974246N22117,40,996
1974254N23153,70,1000
1974262N16146,55,1008
1974264N18162,90,998
1974280N11143,65,1004
1974286N11138,70,1000
1974291N10150,80,1000
1974296N14148,85,1002
1974303N13130,50,996
1974306N07142,105,1006
1974315N09135,35,1004
1974324N08146,100,1005
1974349N11126,35,1005
1974352N09140,35,1008
1975019N09140,65,1008
1975166N16116,25,998
1975205N18143,35,1002
1975211N20137,120,998
1975221N18116,70,996
1975221N18127,65,990
1975223N14138,105,1002
1975237N23154,45,1002
1975244N17153,85,996
1975247N14131,40,1004
1975251N23162,65,995
1975258N12132,60,1004
1975259N10141,85,1004
1975273N09138,95,1000
1975274N10116,60,1004
1975281N10142,120,1005
1975288N13138,60,1004
1975296N24129,55,1006
1975305N14125,40,1005
1975309N11154,80,1006
