SID,MAX_WIND_SPEED,MAX_WIND_PRESSURE
2015012N09146,70,1006
2015038N08158,84,1004
2015069N04173,52,1002
2015085N06162,113,1008
2015092N06161,37,1005
2015122N07144,0,1004
2015127N04158,0,1002
2015171N15112,47,1002
2015180N09160,95,1004
2015183N13130,56,1002
2015184N08172,99,1004
2015188N08194,76,1008
2015211N13162,115,1004
2015218N18149,0,1002
2015226N12151,0,1004
2015226N15164,0,1004
2015229N08212,0,994
2015249N18142,0,1002
2015256N16113,41,1002
2015257N14152,0,1002
2015263N14148,107,1002
2015273N12130,78,1008
2015274N17167,0,1004
2015285N14151,95,1004
2015286N12163,0,1004
2015321N04164,0,1002
2015344N07145,93,1004
2016185N08145,115,1004
2016205N25152,0,1002
2016207N17116,47,1004
2016211N11128,68,1004
2016216N17149,0,1002
2016221N19163,0,1004
2016225N16138,0,1002
2016228N22117,47,990
2016230N15138,0,996
2016230N25160,0,994
2016232N22153,0,1000
2016244N21123,72,1002
2016250N25125,37,1004
2016253N13144,121,1002
2016255N12114,37,1002
2016256N12146,91,1006
2016265N10150,87,1006
2016269N15165,0,1008
2016278N16181,0,1006
2016279N19130,56,1002
2016287N12131,84,1004
2016288N06146,115,1004
2016305N10147,0,1002
2016313N11163,37,1006
2016328N09130,47,1004
2016355N07146,107,1006
2017113N09144,35,1004
2017161N13119,41,1004
2017182N15132,56,1006
2017195N16114,52,1002
2017200N26162,95,1008
2017201N23178,35,1008
2017202N16116,37,1004
2017202N19124,35,1006
2017206N13129,0,1002
2017209N19118,47,998
2017212N27158,0,1006
2017223N16172,0,1006
2017232N19130,68,1004
2017236N15129,52,1004
2017239N18147,0,1004
2017242N19122,45,1002
2017247N16132,35,1006
2017252N14147,0,1004
2017253N14130,84,1002
2017284N15134,78,1002
2017288N09138,0,1002
2017292N13151,0,1004
2017304N11127,72,1006
2017312N10134,43,1004
2017321N07124,35,1006
2017347N11131,39,1004
2017354N08134,68,1002
2017364N07138,35,1002
2018039N08151,37,1004
2018082N04147,84,1004
2018153N12113,39,1000
2018155N10132,62,1000
2018165N22117,37,996
2018179N19134,68,1002
2018184N10147,99,1004
2018195N19138,41,1002
2018199N18128,49,998
2018202N21159,52,1008
2018204N15137,76,1002
2018213N12245,37,1002
2018214N19153,72,1002
2018218N18134,41,996
2018221N17112,45,996
2018222N16147,47,1004
2018226N23128,41,996
2018227N11145,84,1002
2018229N11160,84,1002
2018239N11161,107,1006
2018250N12170,109,1004
2018251N20122,39,1002
2018263N12146,107,1002
2018271N06154,107,1004
2018294N08161,115,1004
2018311N07179,56,1004
2018321N10113,35,1006
2018324N04156,78,1004
2018365N08115,45,1000
2019050N05163,107,1004
2019176N18128,37,1004
2019182N18114,35,998
2019195N13136,43,998
2019205N23137,35,1006
2019210N16117,43,998
2019213N17155,68,1004
2019214N15134,107,1002
2019216N16147,84,1000
2019231N13135,52,1002
2019236N08143,47,1004
2019242N14180,87,1004
2019242N18126,35,1002
2019243N06136,91,1002
2019255N09162,35,1002
2019260N20129,72,1000
2019268N10155,78,1002
2019278N16165,107,1006
2019288N16136,72,1006
2019290N08169,97,1006
2019302N11118,45,1004
2019306N10162,109,1000
2019308N13114,62,1006
2019314N12172,84,1004
2019314N14136,62,1004
2019322N11144,52,1004
2019329N09160,84,1004
2019354N05151,72,1002
2020129N07134,78,1004
2020160N10133,39,1002
2020211N14124,37,998
2020213N15131,62,1006
2020220N14128,39,998
2020222N15117,45,1002
2020229N18123,52,1004
2020234N19123,87,1000
2020239N13134,97,1000
2020244N25146,109,1002
2020258N11127,47,1002
2020263N21136,52,998
2020270N17159,56,1004
2020277N21141,68,1002
2020281N14126,41,1002
2020285N17120,47,1002
2020291N06141,64,1004
2020296N09137,84,1004
2020299N11144,109,1006
2020303N05149,49,1004
2020312N10131,41,1004
2020313N08135,84,1006
2020353N06129,35,1004
2021046N06142,41,1002
2021102N06144,115,1004
2021148N05142,37,1004
2021161N18115,39,1000
2021171N09152,52,1008
2021197N17135,78,1004
2021198N19117,64,998
2021204N21146,37,1000
2021214N21110,45,996
2021215N24124,47,998
2021216N22144,41,1002
2021219N08193,47,1006
2021248N11131,47,1004
2021248N12141,107,1000
2021264N13119,35,1004
2021265N11150,99,1002
2021276N07131,39,996
2021280N14137,56,1002
2021282N16165,39,1004
2021295N09145,76,1008
2021333N11146,95,1002
2021346N05145,103,1004
2022096N03150,91,1004
2022099N11128,39,1004
2022180N15117,68,998
2022180N15130,37,1000
2022208N15143,39,1004
2022211N20129,35,1002
2022220N16110,41,1000
2022221N24149,39,1006
2022232N18131,56,1000
2022233N22151,76,1002
2022239N22150,107,1002
2022247N26147,84,996
2022254N21158,68,1002
2022254N24143,107,998
2022263N18137,35,1004
2022264N17132,95,1002
2022268N20147,68,1000
2022270N14136,76,1002
2022284N15152,35,1004
2022285N12116,37,1002
2022285N17140,76,1002
2022299N11134,68,1004
2022301N07140,35,1004
2022316N20167,35,1008
2022342N06133,39,1004
2023108N03160,45,1006
2023138N05151,113,1004
2023156N12135,76,1004
2023194N16123,62,998
2023201N13134,99,1004
2023207N09141,95,1004
2023213N14257,78,1004
2023218N25145,91,1002
2023234N18128,107,1002
2023234N19154,52,1002
2023239N18144,84,1000
2023241N10158,47,1004
2023247N20130,39,1002
2023271N14144,91,1004
2023279N08157,115,1006
2023289N15111,39,1006
2023349N04141,35,1006
2024141N03142,72,1004
2024151N18113,35,1000
2024198N08130,52,1002
2024201N12133,93,1004
2024218N23143,62,1002
2024224N27154,35,1004
2024225N22135,84,1000
2024225N24147,35,1004
2024231N24126,37,1004
2024233N15148,95,1008
2024244N09137,107,1002
2024246N22147,35,1004
2024253N11148,72,1002
2024259N12145,41,1000
2024259N17126,35,998
2024267N29129,35,1004
2024269N14150,62,1004
2024270N24128,105,1004
2024278N11150,56,1004
2024293N13141,68,1002
2024298N13150,105,1002
2024307N06143,97,1004
2024312N14145,68,1008
2024313N10169,105,1008
2024314N07151,91,1006
2024357N10115,35,1002
