SID,MAX_WIND_SPEED,MAX_WIND_PRESSURE
1951050N20139,0,1010
1951077N06158,0,1006
1951105N08152,0,1008
1951119N06145,0,1012
1951124N04167,0,1010
1951177N12136,0,1006
1951181N21122,0,1012
1951203N22144,0,1011
1951206N11145,0,998
1951221N10136,0,1006
1951223N11148,0,990
1951239N11144,0,1008
1951255N08148,0,1006
1951263N08137,0,1008
1951281N11147,0,1002
1951295N21152,0,1010
1951300N13155,0,990
1951301N16128,0,1008
1951321N09143,0,1006
1951337N09150,0,1000
1951344N09143,0,1006
1952162N15118,0,1008
1952171N12130,0,1006
1952180N05144,0,1002
1952191N23124,0,1007
1952197N27130,0,1001
1952206N09134,0,1006
1952215N13131,0,1004
1952217N15127,0,1008
1952224N14135,0,1006
1952236N10135,0,1008
1952241N08137,0,1004
1952245N09139,0,1006
1952258N18178,0,985
1952269N11157,0,1015
1952278N22140,0,1016
1952287N09148,0,1004
1952288N10118,0,1004
1952289N15128,0,1006
1952296N06152,0,1008
1952303N09149,0,1002
1952312N08150,0,1008
1952320N30131,0,1014
1952321N10146,0,1016
1952326N07144,0,1004
1952339N17176,0,1002
1952348N08129,0,1010
1952352N07147,0,996
1952363N06171,0,1006
1953049N07167,0,1012
1953148N08150,0,1006
1953172N08142,0,1006
1953176N05150,0,1004
1953205N17158,0,995
1953211N19130,0,1006
1953219N08155,0,1006
1953222N17127,0,1002
1953227N09147,0,1010
1953235N10162,0,1006
1953235N14148,0,1008
1953256N17128,0,1008
1953260N07153,0,1008
1953267N16110,0,1006
1953270N18130,0,1010
1953274N16113,0,1016
1953279N14160,0,1016
1953285N09161,0,1006
1953299N09138,0,1008
1953313N06155,0,1014
1953326N04147,0,1009
1953332N06149,0,1006
1953343N06170,0,1014
1954060N06136,0,1008
1954125N07131,0,1008
1954185N07145,0,1006
1954223N22138,0,1008
1954223N22150,0,1004
1954231N10159,0,1006
1954231N13145,0,1009
1954240N13151,0,1006
1954243N18139,0,1006
1954244N17113,0,1000
1954247N19152,0,1004
1954253N18157,0,1008
1954261N11150,0,1004
1954273N16146,0,1006
1954285N14160,0,1006
1954297N17138,0,1014
1954300N10141,0,1006
1954307N04148,0,1008
1954314N11152,0,1006
1954326N12157,0,1004
1954357N08136,0,1006
1955001N08140,0,1006
1955054N07134,0,1002
1955080N07168,0,1016
1955107N07139,0,1014
1955153N18115,0,1008
1955174N11114,0,1000
1955186N10147,0,1008
1955194N18138,0,1004
1955196N23153,0,1006
1955198N23137,0,1004
1955199N20131,0,1008
1955203N31123,0,998
1955204N11153,0,1008
1955214N16134,0,1008
1955215N12139,0,1008
1955218N16117,0,1006
1955220N30159,0,1012
1955222N35176,0,1002
1955232N09137,0,1006
1955241N17144,0,1006
1955259N10153,0,1004
1955263N13150,0,1006
1955271N12145,0,1008
1955275N15147,0,1006
1955277N16134,0,1000
1955289N19128,0,1010
1955329N10129,0,1008
1955346N06142,0,1000
1956081N02154,0,1006
1956100N12123,0,1008
1956107N06147,0,1004
1956168N20159,0,1008
1956187N12126,0,1004
1956207N13145,0,1008
1956215N23146,0,1010
1956220N08137,0,1004
1956223N16126,0,1004
1956238N14143,0,1006
1956242N16132,0,1000
1956245N24140,0,1006
1956257N18131,0,1008
1956261N12129,0,996
1956263N15142,0,1006
1956267N26141,0,1010
1956288N11132,0,1008
1956314N08153,0,1006
1956321N18124,0,1002
1956328N14129,0,1004
1956329N09136,0,1006
1956342N14128,0,1005
1957003N07140,0,1008
1957021N03152,0,1009
1957101N05136,0,1010
1957122N03154,0,1004
1957168N05156,0,1006
1957192N07141,0,1006
1957223N08145,0,1006
1957226N17119,0,1002
1957233N24137,0,1015
1957238N14153,0,1006
1957244N15210,0,980
1957249N18125,0,1006
1957258N17147,0,1004
1957261N10147,0,1008
1957261N12135,0,1006
1957276N09151,0,1006
1957281N15118,0,1002
1957284N13133,0,1006
1957291N14155,0,1002
1957309N11161,0,1006
1957311N06171,0,1004
1957321N06172,0,1006
1958007N03171,0,1010
1958119N13128,0,1008
1958143N06158,0,1008
1958147N15114,0,1006
1958158N08151,0,1008
1958159N20127,0,1005
1958164N12146,0,1006
1958179N04158,0,1006
1958189N11149,0,1006
1958192N16135,0,1004
1958194N05146,0,1002
1958194N20115,0,1000
1958200N18113,0,1000
1958203N09160,0,1008
1958216N15118,0,1004
1958217N23152,0,1006
1958232N12139,0,1008
1958237N15129,0,1006
1958240N08146,0,1008
1958246N09146,0,1008
1958251N10142,0,1008
1958263N13148,0,1006
1958263N19175,0,1012
1958268N15118,0,1006
1958293N12128,0,1006
1958295N10149,0,1006
1958297N12161,0,1002
1958325N11133,0,1006
1958332N11139,0,1006
1958335N05170,0,1014
1958344N12141,0,1006
1959058N09141,0,1000
1959063N06165,0,1008
1959104N05149,0,1004
1959185N16118,0,1006
1959190N08145,0,1010
1959211N21148,0,1004
1959222N15153,0,1006
1959231N16130,0,1006
1959236N10132,0,1006
1959236N12139,0,1008
1959241N12148,0,1008
1959248N13132,0,1008
1959249N19181,0,990
1959254N14148,0,1008
1959263N11160,0,1008
1959274N09137,0,1002
1959278N15118,0,1008
1959281N09143,0,1008
1959286N07168,0,1008
1959305N06167,0,1010
1959317N09137,0,1002
1959346N06147,0,1006
1959356N05152,0,1008
1960112N09127,0,1004
1960146N08131,0,1006
1960154N12137,0,1008
1960154N17116,0,1004
1960164N29134,0,1012
1960173N08137,0,1006
1960199N17129,0,1008
1960207N22154,0,1006
1960210N13134,0,1006
1960215N11138,0,1008
1960219N20153,0,1006
1960220N18140,0,1004
1960223N21127,0,1002
1960223N23136,0,1006
1960227N21144,0,1003
1960227N23126,0,1006
1960230N13155,0,1008
1960231N22117,0,1000
1960235N10159,0,1014
1960244N25124,0,1014
1960248N15148,0,1014
1960268N22153,0,1010
1960273N10142,0,1004
1960282N21132,0,1008
1960286N11163,0,1008
1960294N13138,0,1008
1960297N40158,0,1006
1960327N09161,0,1006
1960346N07148,0,1010
1961014N07141,0,1006
1961081N08148,0,1014
1961135N12121,0,1004
1961141N09135,0,1006
1961171N11115,0,1000
1961173N09139,0,1000
1961177N27134,0,998
1961188N10147,0,1010
1961193N12146,0,1008
1961204N12147,0,1010
1961207N20143,0,1002
1961213N12134,0,1008
1961220N14113,0,1005
1961225N14143,0,1008
1961231N12134,0,1006
1961241N20155,0,1008
1961247N15127,0,1008
1961248N18155,0,1008
1961250N07173,0,1006
1961264N12130,0,1004
1961265N11156,0,1006
1961269N11161,0,1006
1961276N22152,0,1010
1961279N17119,0,1008
1961291N08159,0,1008
1961298N17166,0,1010
1961312N14153,0,1014
1961339N08137,0,1010
1962033N06129,0,1008
1962106N10143,0,1012
1962135N07132,0,1018
1962145N08133,0,1008
1962187N17129,0,1006
1962198N15124,0,1007
1962202N20158,0,1006
1962206N14140,0,996
1962209N13149,0,1004
1962211N09153,0,1006
1962217N10142,0,1008
1962224N11151,0,1010
1962226N22128,0,1008
1962232N17149,0,1006
1962236N20131,0,1010
1962237N07155,0,1008
1962241N14150,0,1004
1962254N11123,0,1008
1962254N22166,0,1014
1962261N15121,0,1007
1962268N12144,0,1008
1962272N10161,0,1008
1962274N16158,0,1004
1962292N11119,0,1006
1962292N11139,0,1004
1962300N12140,0,1010
1962308N08138,0,1010
1962311N06154,0,1002
1962327N05144,0,1006
1962340N07141,0,1002
1963116N08146,0,1010
1963147N12135,0,1008
1963158N20116,0,1004
1963163N13135,0,1008
1963167N09156,0,1008
1963182N11144,0,1006
1963190N15149,0,1010
1963196N10146,0,1008
1963207N13151,0,1006
1963219N09146,0,1006
1963235N17164,0,1006
1963236N22137,0,1008
1963240N09157,0,1006
1963247N18145,0,1006
1963251N13151,0,1010
1963260N10153,0,1010
1963270N08154,0,1014
1963276N10140,0,1008
1963279N07165,0,1008
1963287N19164,0,1008
1963296N15164,0,1006
1963343N10130,0,1013
1963349N12131,0,1014
1963352N02174,0,1006
1964133N10134,0,1014
1964143N13112,0,1006
1964177N09142,0,1008
1964178N12149,0,1006
1964184N22133,0,1002
1964187N07150,0,1006
1964193N10145,0,1008
1964196N17144,0,1008
1964206N18128,0,1004
1964208N17142,0,1009
1964209N17150,0,1006
1964215N07150,0,1004
1964222N10144,0,1007
1964224N25161,0,1008
1964225N16139,0,1008
1964225N18128,0,1004
1964245N20132,0,1004
1964247N09159,0,1007
1964256N17141,0,1006
1964261N12149,0,1010
1964267N17120,0,1006
1964269N12142,0,1006
1964276N07142,0,1004
1964278N07156,0,1016
1964287N13165,0,1008
1964291N11143,0,1008
1964295N07158,0,1006
1964305N12128,0,1006
1964309N11132,0,1008
1964316N13117,0,1010
1964319N08141,0,1006
1964332N12120,0,1010
1964344N06153,0,1004
1965017N12126,0,1010
1965021N07151,0,1008
1965046N07114,0,1006
1965065N10128,0,1008
1965101N06158,0,1010
1965140N09134,0,1006
1965149N18113,0,1012
1965150N18109,0,1014
1965161N09151,0,1008
1965169N08142,0,1006
1965187N08144,0,1006
1965194N06156,0,1006
1965200N10152,0,1006
1965205N07163,0,1007
1965208N14133,0,1006
1965214N24139,0,1008
1965226N17116,0,1008
1965226N20139,0,1004
1965227N12173,0,1008
1965238N14144,0,1006
1965241N19118,0,1003
1965242N15139,0,1004
1965244N09145,0,1006
1965251N11143,0,1006
1965256N13149,0,1006
