SID,MAX_WIND_SPEED,MAX_WIND_PRESSURE
1945110N09160,50,0
1945134N19136,55,0
1945153N11133,70,0
1945170N13134,45,0
1945185N14113,50,0
1945196N09133,65,0
1945204N09137,40,0
1945204N17118,35,0
1945211N23129,80,0
1945218N16124,80,0
1945222N22149,50,0
1945228N17161,60,0
1945229N15137,80,0
1945234N22131,70,0
1945236N19116,70,0
1945242N15136,105,0
1945250N12128,90,0
1945253N08157,70,0
1945264N12124,40,0
1945264N17114,50,0
1945268N12143,90,0
1945271N06160,60,0
1945275N09161,65,0
1945305N13133,45,0
1945319N10119,40,0
1945326N10139,80,0
1946086N12153,100,0
1946131N11143,80,0
1946168N07133,110,0
1946174N19120,50,0
1946178N09144,80,0
1946193N13143,120,0
1946204N17147,100,0
1946222N15152,125,0
1946234N18130,60,0
1946250N12150,100,0
1946251N11165,100,0
1946261N11161,120,0
1946292N11131,120,0
1946309N12126,120,0
1946317N14142,95,0
1947078N06131,35,0
1947133N16138,80,0
1947168N11132,100,0
1947188N15137,35,0
1947198N17115,35,0
1947207N18133,50,0
1947217N20136,100,0
1947224N18115,70,0
1947236N09138,100,0
1947248N13135,35,0
1947254N17143,90,0
1947257N25154,90,0
1947265N14127,75,0
1947272N21133,90,0
1947275N14142,100,0
1947275N14155,110,0
1947279N23145,130,0
1947286N11152,120,0
1947290N15141,45,0
1947302N11134,100,0
1947306N08140,100,0
1947314N14130,50,0
1947316N09141,110,0
1947321N07145,75,0
1947326N24136,100,0
1947334N10129,45,0
1947356N08141,95,0
1948011N07147,130,0
1948138N10138,80,0
1948150N12130,80,0
1948160N23121,40,0
1948161N15138,60,0
1948183N11145,90,0
1948206N11129,70,0
1948217N30139,70,0
1948221N19142,50,0
1948223N18155,45,0
1948233N18118,50,0
1948240N14139,85,0
1948246N15134,80,0
1948255N14155,120,0
1948255N17137,80,0
1948268N15126,60,0
1948273N24144,125,0
1948278N25157,100,0
1948285N23144,50,0
1948290N15120,55,0
1948301N16148,60,0
1948307N13147,100,0
1948318N11152,95,0
1948334N09128,45,0
1948337N09149,80,0
1948347N08136,40,0
1949013N06140,85,0
1949163N07145,100,0
1949181N06140,50,0
1949192N19142,90,0
1949199N11139,110,0
1949200N12156,110,0
1949206N18114,50,0
1949219N07134,85,0
1949239N21155,110,0
1949243N17145,120,0
1949245N18126,35,0
1949245N20152,75,0
1949252N17143,95,0
