SID,MAX_WIND_SPEED,MAX_WIND_PRESSURE
2005202N13138,55,990
2001347N04162,105,998
1981261N25174,70,996
1983334N09142,45,1000
1977228N19133,60,998
1997238N19112,45,996
1983311N15161,45,1000
1990171N11148,80,1000
2000222N14143,65,994
1988263N15126,55,998
1979219N15138,80,996
1981166N11135,70,992
1989142N11114,60,996
1989279N07151,75,996
2018195N19138,40,996
2024267N29129,35,1000
2015263N14148,110,1000
2009228N11163,90,1000
1998217N10130,50,996
2024225N24147,35,1004
1986221N17163,70,996
2007291N19148,90,1002
2016288N06146,115,1000
2019242N14180,85,1002
1986309N07162,50,1000
2004158N07142,60,998
1984277N07151,65,994
1986112N02152,65,1000
1997265N10175,95,998
1986225N17134,90,992
1978192N19154,70,998
1991196N06153,60,996
2017200N26162,95,1006
1997210N15120,60,996
1978252N18166,80,994
2003319N13172,100,998
2021265N11150,105,1002
1992027N05206,45,994
1992277N16140,100,1000
2013220N12137,105,1002
2021198N19117,70,998
2000305N06136,60,1000
1983229N15140,40,1000
2018263N12146,105,1000
1977284N24153,40,994
2003144N16119,55,994
1984291N13130,60,1000
1977211N20138,40,996
1997165N12139,75,996
1978240N27151,45,992
1979098N02144,75,1000
1978272N19154,70,994
1979254N10140,55,1004
1978165N20138,45,992
2009219N19140,40,994
1997252N10171,85,994
1994348N04175,50,996
2013255N20148,65,998
1995279N15153,40,998
2013259N17132,110,1000
1989286N14137,100,998
1994231N12157,80,1000
1996254N13138,90,992
1998327N09126,40,998
2016211N11128,60,998
2009221N10201,35,1012
1979275N06159,140,996
1996307N09154,90,992
1993229N10159,70,998
1999231N30181,50,1010
1995206N15133,55,994
2009272N07164,110,996
2003267N15140,70,992
2008135N16125,50,996
2020263N21136,60,996
2010249N24125,55,1000
2004219N15137,80,992
2005316N05134,55,998
2017288N09138,100,1000
1980270N13165,95,994
1996203N12152,95,1000
2008311N08128,50,1002
1978222N11131,45,996
2015171N15112,45,996
1991289N06156,115,1000
2021171N09152,65,1002
2008135N12116,60,996
1986190N11162,75,1000
1993322N09137,70,1000
2006329N06150,105,1000
2020277N21141,70,998
2002240N16155,80,996
2009189N17129,35,994
2015122N07144,110,1000
1982339N07139,60,1000
1995294N05163,90,996
2024298N13150,100,998
1980126N08150,85,998
2002264N13114,45,1000
2018202N21159,50,1002
2018365N08115,45,1005
1982325N08176,90,1000
2019231N13135,50,998
1993253N06150,55,1000
1978172N17130,45,998
1994244N07151,75,996
2019314N12172,85,1000
2004136N05148,50,996
1984214N12143,50,992
1992206N25161,40,1000
1999208N06139,65,996
2013316N06130,35,1002
1996217N16111,40,996
2021333N11146,100,1000
2024312N14145,70,1002
2015012N09146,60,1002
1991251N12138,80,996
2013237N11129,55,1000
1982176N18114,45,996
2004134N07132,95,998
1996208N20165,55,1004
1980246N05151,70,994
2006188N10143,60,998
2012267N16141,50,1000
2006224N21141,50,994
2023247N20130,40,1000
1980197N07154,85,996
1983271N18118,70,996
2005210N19115,45,992
2007313N16148,35,998
1994211N12152,100,1000
1998285N12149,85,998
2013158N13129,45,1000
1980140N16116,55,990
2003098N03159,90,1002
2009215N20133,75,994
1983201N08144,110,998
2023279N08157,115,1000
2013049N05131,35,1002
2023194N16123,60,992
2000299N08139,75,998
2018271N06154,115,1000
1982257N20172,45,996
2015092N06161,35,1000
1983167N05145,35,998
1990287N13156,75,998
2016230N15138,65,994
1991077N03165,65,1000
1994191N08141,50,1000
2009281N15144,45,1000
2003230N18125,35,996
1986259N07170,100,998
2013187N20156,100,1002
1977291N07148,80,990
1992298N10188,90,998
1988255N21159,55,1000
2023218N25145,90,1000
1980256N10154,65,998
1990166N06141,65,996
1997217N06168,100,996
1986283N10179,90,996
2008320N08122,40,998
1991124N05152,100,1000
2015038N08158,90,1000
1986179N11175,110,998
1994273N08176,110,1000
1998343N08114,40,998
1992263N05175,45,998
1984204N21162,100,992
2011195N15134,35,1000
2007272N17125,60,996
1989250N17148,50,998
1999217N11265,120,1008
1983188N06136,65,998
2004206N20151,85,998
1987200N04191,100,1002
2010305N06105,60,1004
2010198N15123,70,1000
2017202N19124,35,1004
2001361N01106,45,1008
2018226N23128,45,994
1991243N05172,95,1000
2020258N11127,45,998
2008292N20152,45,1000
2018199N18128,50,996
1997299N07169,110,994
1983223N23143,55,1000
2005262N20155,80,998
1991220N20160,70,996
2022180N15130,45,1000
2016232N22153,35,1002
2007223N19136,110,998
1997202N04152,75,996
2000237N08138,70,992
2013292N09162,115,1000
2015218N18149,45,1000
1994169N06152,40,1000
1987311N10148,45,1002
1986134N08149,120,992
2015257N14152,85,996
2016305N10147,75,996
1998320N10102,65,1002
1989190N20160,100,996
2013241N29169,35,1002
1981343N05150,100,998
2020312N10131,45,1000
1977276N16155,65,985
2015249N18142,50,998
1991239N20133,40,994
1987231N10159,100,998
1988219N27175,40,1000
2003290N15132,90,996
2009255N13155,105,1002
1981195N11138,50,992
1995287N08163,85,1002
1988260N15157,50,998
1999241N12133,35,996
2024198N08130,55,998
1986200N17111,35,996
2021219N08193,45,1004
2021214N21110,45,994
2013210N13122,50,1000
1983287N09164,50,996
2015069N04173,45,998
2004215N22148,40,1000
1993331N05172,80,1000
1994088N09148,60,1000
2013224N12220,35,1010
1982202N11165,125,998
1985347N07155,90,998
2006128N09138,95,1000
2007324N10140,80,1000
1982179N19128,45,998
1994242N12112,45,992
2009251N16118,40,998
1983259N08161,110,998
2010078N03153,35,1000
2021197N17135,85,998
1992003N03176,55,1000
2021280N14137,55,1000
1990205N16141,85,1000
2024357N10115,35,1002
1978226N09162,40,998
2013305N07141,25,1004
1980296N05165,100,998
1987247N09150,105,1002
1991274N14149,95,994
2019210N16117,45,994
1995148N07150,40,998
2001284N16132,70,1000
1987093N05155,45,1002
2013196N14128,40,1002
2000230N08139,110,996
2001239N19116,35,990
1981102N04162,60,998
2023213N14257,130,1008
2019182N18114,35,994
2010239N15118,50,1000
1991301N08173,100,1002
2008262N16142,90,1002
1997099N06153,85,996
1985236N23125,75,996
1997333N06194,100,1000
2004333N06154,90,992
1993336N05164,75,996
1978230N09136,65,992
1993224N07153,65,998
1981245N23161,75,992
1997167N06162,65,996
1987244N11177,110,1000
1977206N24137,110,1000
2015085N06162,105,1002
1995229N12144,45,1000
1985268N03161,85,996
2003196N05150,90,998
1994186N09139,95,996
2006225N17126,35,994
1984313N14154,100,1000
1987188N10151,100,990
2004288N09164,85,996
2005199N21168,45,1000
2003212N09150,85,1000
1995293N05177,115,1000
1979271N13113,90,998
1991200N05157,80,996
2014303N13141,110,1000
1996353N05151,60,996
2010256N17137,95,1000
2003196N11137,60,998
1992227N13130,35,996
1992289N09171,80,1000
1985166N19111,35,992
2022208N15143,40,1002
2007306N18133,70,1000
1984186N16154,80,990
2000232N12116,40,985
2018039N08151,35,1002
2009238N20151,60,998
2006216N21152,70,1000
1988255N15132,45,998
1979311N10142,50,994
1986169N07152,70,994
1988226N22173,90,1004
1984207N29135,80,992
2007216N18138,65,1000
2014117N10145,50,1002
2009254N14130,65,994
1996210N05156,75,996
2021264N13119,35,1000
1993199N10156,55,1000
2010233N17119,45,996
2016255N12114,35,996
2006298N12143,100,1000
1988246N26133,40,1002
1994206N14131,45,996
2006276N18151,45,994
2011172N11133,60,998
2002234N14164,80,1000
2018082N04147,105,1000
2005230N20144,95,1002
2008320N23146,40,1006
1985231N16142,80,998
2012177N11135,40,1000
1994224N20152,100,996
1980323N04180,90,994
1987219N08155,75,1000
2023156N12135,80,1000
2024293N13141,60,998
1989314N10152,75,998
1990288N15118,35,1000
2011215N24164,50,1000
1991111N04145,45,1002
2012215N23146,65,992
2007276N20147,55,1000
1990216N29125,60,994
2000248N17117,75,992
2024151N18113,35,998
2024278N11150,45,1004
1984290N06153,90,994
2001248N23125,75,998
2018222N16147,50,1002
1986333N04179,50,1000
1994265N16149,40,994
1984225N18142,70,990
2000138N16119,45,998
1986302N05178,60,994
1999258N25128,50,998
2018239N11161,105,1004
1990228N15141,75,996
2017182N15132,55,1002
1987202N09144,65,998
1982283N17148,100,998
1990312N12121,50,998
2013001N04141,50,1002
1992174N13126,70,996
1987168N17118,45,992
2014275N06166,115,1000
2013227N08193,55,1009
2008343N16168,65,1002
2023234N18128,105,1002
2014209N12152,105,1002
2016355N07146,105,998
1998213N14128,65,996
2023138N05151,115,1000
1996268N15140,80,998
1989227N16145,35,998
2019268N10155,75,1000
1991257N16130,80,998
2005262N13127,80,996
2005107N07151,90,1000
1999253N17124,55,992
2024231N24126,40,1004
2012254N09135,110,1002
2004352N10154,40,996
2006198N08152,80,998
2006272N13144,50,992
1984169N20137,55,996
2002268N15163,95,1000
1991244N19126,45,1000
1989246N16159,80,998
2020220N14128,45,998
1988005N03174,85,996
2004222N24150,45,994
2008169N08135,90,1000
2013171N15117,40,998
1996260N19107,55,996
2008193N20126,65,996
2021346N05145,105,1000
1989199N05139,55,998
2012230N21126,80,1000
1985168N05156,80,994
1983347N06154,55,1000
1997146N09161,65,998
2017304N11127,70,1000
1991317N09141,45,1002
2022284N15152,35,1004
2019314N14136,70,1000
2018321N10113,35,1006
2024313N10169,105,1004
2018250N12170,110,1000
2015274N17167,60,996
1981214N13113,45,996
2008217N19120,50,990
1995236N10134,85,1000
2021161N18115,35,998
2019213N17155,70,1000
1986316N06146,85,998
2014260N13135,45,1000
1986275N10134,40,1000
1991194N11147,95,996
2008272N08139,35,996
2022233N22151,75,1000
1993205N15137,45,998
2006349N08157,35,1000
2024201N12133,90,1002
1994153N19113,50,998
1991329N04181,60,996
1998235N17131,75,996
2016221N19163,45,1000
2002057N06156,95,998
2016265N10150,85,994
1977255N15145,60,990
1979228N11151,110,998
1994259N12128,100,996
2011249N18133,35,1004
2001276N13146,80,996
2017232N19130,75,998
2001260N14167,85,996
2024259N12145,45,1000
1999195N24156,35,998
2013289N14149,105,1000
1993261N11131,70,998
1988213N20134,35,1000
1985284N05159,120,1000
2022254N21158,70,1000
2012232N13141,100,1000
1997143N17111,40,994
1997124N03171,35,998
1980201N08155,100,1000
1977233N28132,40,992
2017247N16132,35,1004
2024225N22135,85,996
1995302N17174,40,1002
2018229N11160,85,1000
2014267N18150,50,998
2024259N17126,35,992
2002133N03150,95,1000
1990221N07162,80,996
1995250N09161,100,996
2018184N10147,105,1000
1986276N07177,70,998
2013269N15118,65,1000
1983279N17148,60,1000
1993164N04160,105,1002
1993250N17119,85,1000
1997284N04179,105,1000
2022220N16110,35,996
2004093N07154,90,998
2013228N23124,60,994
2006311N16143,100,1000
2018251N20122,40,1002
2015180N09160,90,998
2019354N05151,80,1002
2015344N07145,95,1002
1992318N06182,110,1002
2005229N21156,55,1000
2002008N07141,40,1000
2021248N12141,115,1002
1987219N08134,110,996
2020353N06129,35,1002
1984238N18137,65,992
2004263N13153,90,998
1991233N22147,35,996
2002237N10202,110,1009
2019308N13114,65,998
2017209N19118,45,996
1977194N06142,70,996
1994206N22107,45,994
2019214N15134,105,994
1980171N06142,50,998
1995244N08139,40,998
2021295N09145,75,1002
2005211N09141,80,998
1986029N04152,70,998
2001264N21126,70,998
2004227N15144,65,992
2008252N16128,100,996
1995113N06169,35,1000
2020313N08135,85,1004
1981227N18129,70,994
2010240N15142,80,998
2009213N16130,40,992
2012273N13112,50,1004
1982073N07153,50,998
2015256N16113,35,1000
2015226N12151,100,1000
2008268N12140,115,998
2020211N14124,40,994
2022316N20167,35,1004
2020270N17159,60,1002
1984317N04164,90,1000
2017321N07124,35,1000
1991197N09248,65,1014
1988150N19119,65,996
2007240N17153,70,1000
1987320N03171,90,1000
2013167N12128,40,998
1982190N09148,50,996
1989209N22130,55,992
1996227N08156,65,1004
2006268N12129,85,1000
2022342N06133,40,1002
1981237N16148,80,996
1999260N20130,90,992
2008206N22133,75,994
1994232N10144,45,998
2018324N04156,80,1006
1998342N06141,65,996
1993263N11168,80,996
1996137N13111,40,998
1979300N04166,110,996
2007184N16112,35,996
2014362N07130,40,1000
2015188N08194,80,1008
2019260N20129,65,996
2001309N10130,85,996
2013301N13142,75,1000
1983220N16111,40,998
1994295N25188,40,1000
2014160N21120,40,996
2005237N14148,95,996
2006216N07151,105,998
1978253N21124,65,994
1981355N07149,80,1000
1987007N06162,90,1002
2023349N04141,35,1002
1992311N06107,55,1004
1984239N08146,90,998
1988308N09140,80,1000
1994345N06165,85,1000
1978221N16143,75,996
1996202N17115,50,994
