SID,NAME,ISO_TIME,WMO_WIND,WMO_PRES
1977082N03165,PATSY,1977-03-28 00:00:00,50,990
1977082N03165,PATSY,1977-03-28 06:00:00,50,996
1977082N03165,PATSY,1977-03-28 12:00:00,50,1000
1977082N03165,PATSY,1977-03-28 18:00:00,45,1002
1977082N03165,PATSY,1977-03-29 00:00:00,45,1002
1977082N03165,PATSY,1977-03-29 06:00:00,45,1002
1977082N03165,PATSY,1977-03-29 12:00:00,40,1002
1977082N03165,PATSY,1977-03-29 18:00:00,40,1004
1977161N06134,RUTH,1977-06-14 00:00:00,40,992
1977161N06134,RUTH,1977-06-14 06:00:00,45,990
1977161N06134,RUTH,1977-06-14 12:00:00,45,985
1977161N06134,RUTH,1977-06-14 18:00:00,45,980
1977161N06134,RUTH,1977-06-15 00:00:00,45,975
1977161N06134,RUTH,1977-06-15 06:00:00,55,980
1977161N06134,RUTH,1977-06-15 12:00:00,60,980
1977161N06134,RUTH,1977-06-15 18:00:00,60,980
1977161N06134,RUTH,1977-06-16 00:00:00,60,980
1977161N06134,RUTH,1977-06-16 06:00:00,60,985
1977161N06134,RUTH,1977-06-16 12:00:00,45,990
1977161N06134,RUTH,1977-06-16 18:00:00,40,994
1977194N06142,SARAH,1977-07-17 00:00:00,35,996
1977194N06142,SARAH,1977-07-17 06:00:00,35,996
1977194N06142,SARAH,1977-07-17 12:00:00,45,990
1977194N06142,SARAH,1977-07-17 18:00:00,45,990
1977194N06142,SARAH,1977-07-18 00:00:00,40,990
1977194N06142,SARAH,1977-07-18 06:00:00,40,990
1977194N06142,SARAH,1977-07-18 12:00:00,45,990
1977194N06142,SARAH,1977-07-18 18:00:00,45,990
1977194N06142,SARAH,1977-07-19 00:00:00,50,985
1977194N06142,SARAH,1977-07-19 06:00:00,55,985
1977194N06142,SARAH,1977-07-19 12:00:00,55,985
1977194N06142,SARAH,1977-07-19 18:00:00,55,980
1977194N06142,SARAH,1977-07-20 00:00:00,65,975
1977194N06142,SARAH,1977-07-20 06:00:00,70,970
1977194N06142,SARAH,1977-07-20 12:00:00,70,970
1977194N06142,SARAH,1977-07-20 18:00:00,60,975
1977194N06142,SARAH,1977-07-21 00:00:00,55,980
1977194N06142,SARAH,1977-07-21 06:00:00,55,980
1977194N06142,SARAH,1977-07-21 12:00:00,45,990
1977194N06142,SARAH,1977-07-21 18:00:00,40,990
1977200N10138,THELMA,1977-07-21 12:00:00,45,992
1977200N10138,THELMA,1977-07-21 18:00:00,45,990
1977200N10138,THELMA,1977-07-22 00:00:00,50,985
1977200N10138,THELMA,1977-07-22 06:00:00,50,985
1977200N10138,THELMA,1977-07-22 12:00:00,55,975
1977200N10138,THELMA,1977-07-22 18:00:00,65,970
1977200N10138,THELMA,1977-07-23 00:00:00,65,960
1977200N10138,THELMA,1977-07-23 06:00:00,70,950
1977200N10138,THELMA,1977-07-23 12:00:00,70,955
1977200N10138,THELMA,1977-07-23 18:00:00,70,960
1977200N10138,THELMA,1977-07-24 00:00:00,70,960
1977200N10138,THELMA,1977-07-24 06:00:00,70,960
1977200N10138,THELMA,1977-07-24 12:00:00,70,960
1977200N10138,THELMA,1977-07-24 18:00:00,70,960
1977200N10138,THELMA,1977-07-25 00:00:00,60,965
1977200N10138,THELMA,1977-07-25 06:00:00,50,980
1977200N10138,THELMA,1977-07-25 12:00:00,45,992
1977206N24137,VERA,1977-07-27 12:00:00,40,1000
1977206N24137,VERA,1977-07-27 18:00:00,40,1000
1977206N24137,VERA,1977-07-28 00:00:00,40,996
1977206N24137,VERA,1977-07-28 06:00:00,40,990
1977206N24137,VERA,1977-07-28 12:00:00,50,985
1977206N24137,VERA,1977-07-28 18:00:00,50,980
1977206N24137,VERA,1977-07-29 00:00:00,55,975
1977206N24137,VERA,1977-07-29 06:00:00,65,960
1977206N24137,VERA,1977-07-29 12:00:00,70,945
1977206N24137,VERA,1977-07-29 18:00:00,80,935
1977206N24137,VERA,1977-07-30 00:00:00,90,930
1977206N24137,VERA,1977-07-30 06:00:00,110,925
1977206N24137,VERA,1977-07-30 12:00:00,100,925
1977206N24137,VERA,1977-07-30 18:00:00,100,925
1977206N24137,VERA,1977-07-31 00:00:00,110,925
1977206N24137,VERA,1977-07-31 06:00:00,110,925
1977206N24137,VERA,1977-07-31 12:00:00,90,940
1977206N24137,VERA,1977-07-31 18:00:00,85,950
1977206N24137,VERA,1977-08-01 00:00:00,70,970
1977206N24137,VERA,1977-08-01 06:00:00,50,980
1977206N24137,VERA,1977-08-01 12:00:00,35,985
1977211N20138,WANDA,1977-08-01 00:00:00,40,994
1977211N20138,WANDA,1977-08-01 06:00:00,40,992
1977211N20138,WANDA,1977-08-01 12:00:00,40,992
1977211N20138,WANDA,1977-08-01 18:00:00,40,992
1977211N20138,WANDA,1977-08-02 00:00:00,40,992
1977211N20138,WANDA,1977-08-02 06:00:00,40,990
1977211N20138,WANDA,1977-08-02 12:00:00,40,990
1977211N20138,WANDA,1977-08-02 18:00:00,40,990
1977211N20138,WANDA,1977-08-03 00:00:00,40,985
1977211N20138,WANDA,1977-08-03 06:00:00,40,990
1977211N20138,WANDA,1977-08-03 12:00:00,40,990
1977211N20138,WANDA,1977-08-03 18:00:00,40,990
1977211N20138,WANDA,1977-08-04 00:00:00,40,990
1977211N20138,WANDA,1977-08-04 06:00:00,40,990
1977211N20138,WANDA,1977-08-04 12:00:00,40,992
1977211N20138,WANDA,1977-08-04 18:00:00,35,992
1977211N20138,WANDA,1977-08-05 00:00:00,35,992
1977211N20138,WANDA,1977-08-05 06:00:00,35,992
1977211N20138,WANDA,1977-08-05 12:00:00,35,994
1977211N20138,WANDA,1977-08-05 18:00:00,35,996
1977211N20138,WANDA,1977-08-06 00:00:00,35,996
1977211N20138,WANDA,1977-08-06 06:00:00,35,996
1977211N20138,WANDA,1977-08-06 12:00:00,35,996
1977211N20138,WANDA,1977-08-06 18:00:00,35,996
1977228N19133,AMY,1977-08-18 00:00:00,35,998
1977228N19133,AMY,1977-08-18 06:00:00,35,992
1977228N19133,AMY,1977-08-18 12:00:00,35,992
1977228N19133,AMY,1977-08-18 18:00:00,35,992
1977228N19133,AMY,1977-08-19 00:00:00,35,992
1977228N19133,AMY,1977-08-19 06:00:00,35,992
1977228N19133,AMY,1977-08-19 12:00:00,35,992
1977228N19133,AMY,1977-08-19 18:00:00,40,992
1977228N19133,AMY,1977-08-20 00:00:00,40,992
1977228N19133,AMY,1977-08-20 06:00:00,40,992
1977228N19133,AMY,1977-08-20 12:00:00,40,985
1977228N19133,AMY,1977-08-20 18:00:00,40,985
1977228N19133,AMY,1977-08-21 00:00:00,35,985
1977228N19133,AMY,1977-08-21 06:00:00,40,985
1977228N19133,AMY,1977-08-21 12:00:00,40,985
1977228N19133,AMY,1977-08-21 18:00:00,40,985
1977228N19133,AMY,1977-08-22 00:00:00,40,985
1977228N19133,AMY,1977-08-22 06:00:00,40,990
1977228N19133,AMY,1977-08-22 12:00:00,40,990
1977228N19133,AMY,1977-08-22 18:00:00,40,990
1977228N19133,AMY,1977-08-23 00:00:00,40,990
1977228N19133,AMY,1977-08-23 06:00:00,50,985
1977228N19133,AMY,1977-08-23 12:00:00,60,985
1977228N19133,AMY,1977-08-23 18:00:00,60,985
1977228N19133,AMY,1977-08-24 00:00:00,50,985
1977228N19133,AMY,1977-08-24 06:00:00,50,985
1977228N19133,AMY,1977-08-24 12:00:00,40,992
1977233N28132,UNNAMED,1977-08-22 00:00:00,40,992
1977233N28132,UNNAMED,1977-08-22 06:00:00,40,990
1977233N28132,UNNAMED,1977-08-22 12:00:00,40,988
1977243N05156,BABE,1977-09-02 06:00:00,40,985
1977243N05156,BABE,1977-09-02 12:00:00,40,985
1977243N05156,BABE,1977-09-02 18:00:00,40,990
1977243N05156,BABE,1977-09-03 00:00:00,40,992
1977243N05156,BABE,1977-09-03 06:00:00,45,992
1977243N05156,BABE,1977-09-03 12:00:00,45,990
1977243N05156,BABE,1977-09-03 18:00:00,45,990
1977243N05156,BABE,1977-09-04 00:00:00,50,985
1977243N05156,BABE,1977-09-04 06:00:00,60,985
1977243N05156,BABE,1977-09-04 12:00:00,60,985
1977243N05156,BABE,1977-09-04 18:00:00,60,985
1977243N05156,BABE,1977-09-05 00:00:00,60,985
1977243N05156,BABE,1977-09-05 06:00:00,60,985
1977243N05156,BABE,1977-09-05 12:00:00,60,985
1977243N05156,BABE,1977-09-05 18:00:00,60,980
1977243N05156,BABE,1977-09-06 00:00:00,70,980
