SID,COORDINATES,NAME
1949013N06140,"[(5.7, 139.9, 0), (5.8, 139.6, 3), (5.9, 139.3, 3), (6.1, 139.0, 3), (6.3, 138.7, 3), (6.5, 138.4, 3), (6.7, 138.0, 3), (6.9, 137.6, 3), (7.2, 137.3, 3), (7.4, 137.0, 3), (7.7, 136.7, 3), (7.9, 136.4, 3), (8.2, 136.0, 3), (8.5, 135.6, 3), (8.8, 135.3, 3), (9.2, 135.0, 3), (9.6, 134.8, 3), (10.2, 134.6, 3), (10.8, 134.5, 3), (11.2, 134.5, 3), (11.6, 134.5, 3), (11.9, 134.5, 3), (12.2, 134.6, 3), (12.5, 134.6, 3), (12.7, 134.7, 3), (12.9, 134.9, 3), (13.1, 135.1, 3), (13.2, 135.2, 3), (13.2, 135.3, 3), (13.2, 135.4, 3), (13.2, 135.6, 3), (13.2, 135.8, 3), (13.1, 135.9, 3), (13.0, 136.0, 3), (12.8, 136.1, 3), (12.7, 136.0, 3), (12.6, 135.9, 3), (12.5, 135.8, 3), (12.4, 135.6, 3), (12.3, 135.4, 3), (12.3, 135.2, 3), (12.3, 134.9, 3), (12.4, 134.5, 3), (12.4, 134.2, 3), (12.4, 133.8, 3), (12.4, 133.3, 3), (12.3, 132.8, 3), (12.2, 132.3, 3), (12.2, 131.8, 3), (12.2, 131.4, 3), (12.1, 130.9, 3), (12.0, 130.4, 3), (11.9, 129.9, 3), (11.8, 129.5, 3), (11.7, 129.1, 3), (11.6, 128.7, 3), (11.6, 128.2, 3), (11.5, 127.8, 3), (11.4, 127.4, 3), (11.3, 127.0, 3), (11.3, 126.6, 3), (11.2, 126.1, 3), (11.2, 125.7, 3), (11.2, 125.3, 3), (11.3, 124.9, 3), (11.3, 124.6, 3), (11.4, 124.3, 3), (11.5, 124.0, 3), (11.6, 123.8, 3), (11.6, 123.6, 3), (11.7, 123.3, 3), (11.8, 123.0, 3), (11.9, 122.7, 3), (11.9, 122.5, 3), (12.0, 122.2, 3), (12.2, 121.8, 3), (12.5, 121.2, 3), (12.9, 120.6, 3), (13.3, 120.0, 3), (13.6, 119.6, 3), (13.8, 119.4, 3), (14.1, 119.2, 3), (14.3, 119.1, 3), (14.5, 118.9, 3), (14.7, 118.7, 3), (14.9, 118.5, 3), (15.2, 118.4, 3), (15.5, 118.3, 3), (15.7, 118.2, 3), (15.9, 118.1, 3), (16.1, 117.9, 3), (16.3, 117.8, 3), (16.6, 117.7, 3), (16.9, 117.5, 3), (17.1, 117.4, 3), (17.3, 117.3, 3), (17.5, 117.3, 3)]",CARMEN
1949163N07145,"[(6.6, 145.0, 0), (6.6, 144.3, 3), (6.6, 143.7, 3), (6.6, 143.2, 3), (6.6, 142.7, 3), (6.6, 142.3, 3), (6.6, 141.8, 3), (6.6, 141.3, 3), (6.6, 140.8, 3), (6.6, 140.4, 3), (6.6, 140.1, 3), (6.6, 139.7, 3), (6.7, 139.3, 3), (6.7, 139.0, 3), (6.8, 138.6, 3), (6.9, 138.2, 3), (7.0, 137.7, 3), (7.1, 137.3, 3), (7.2, 137.0, 3), (7.3, 136.6, 3), (7.5, 136.2, 3), (7.6, 135.8, 3), (7.8, 135.4, 3), (8.0, 135.0, 3), (8.3, 134.7, 3), (8.5, 134.4, 3), (8.8, 134.0, 3), (9.0, 133.6, 3), (9.3, 133.2, 3), (9.6, 132.8, 3), (9.9, 132.5, 3), (10.3, 132.1, 3), (10.7, 131.7, 3), (11.1, 131.3, 3), (11.5, 130.9, 3), (11.9, 130.6, 3), (12.3, 130.2, 3), (12.8, 129.8, 3), (13.4, 129.3, 3), (13.9, 128.9, 3), (14.3, 128.6, 3), (14.8, 128.2, 3), (15.2, 127.8, 3), (15.6, 127.4, 3), (15.9, 127.1, 3), (16.3, 126.7, 3), (16.6, 126.4, 3), (16.9, 126.1, 3), (17.2, 125.8, 3), (17.5, 125.5, 3), (17.8, 125.2, 3), (18.1, 125.0, 3), (18.3, 124.8, 3), (18.5, 124.5, 3), (18.8, 124.3, 3), (19.0, 124.0, 3), (19.4, 123.9, 3), (20.0, 124.3, 3), (20.7, 124.9, 3), (21.5, 125.4, 3), (22.2, 125.8, 3), (22.7, 125.8, 3), (23.3, 125.8, 3), (24.0, 125.8, 3), (24.8, 126.1, 3), (25.8, 127.0, 3), (27.1, 128.2, 3), (28.6, 129.3, 3), (30.3, 130.2, 3), (31.9, 130.8, 3), (33.3, 131.0, 3), (34.3, 130.9, 3), (35.0, 130.7, 3), (35.7, 130.5, 3), (36.0, 130.3, 3), (35.8, 130.0, 3), (35.5, 130.0, 3), (35.4, 130.4, 3), (35.7, 131.3, 3), (36.3, 133.0, 3), (37.2, 135.0, 3), (38.2, 136.8, 3), (39.0, 138.1, 3), (39.4, 138.7, 3), (39.7, 139.0, 3), (40.1, 139.3, 3), (40.5, 139.6, 3), (40.8, 139.9, 3), (41.0, 140.5, 3), (41.2, 141.4, 3), (41.4, 142.5, 3), (41.5, 143.8, 3), (41.7, 145.0, 3), (42.1, 146.0, 3), (42.6, 147.0, 3), (43.2, 148.2, 3), (44.0, 149.5, 3), (45.0, 150.8, 3), (46.0, 152.0, 3)]",DELLA
1949171N21122,"[(21.3, 121.8, 0), (21.4, 122.7, 3), (21.5, 123.5, 3), (21.6, 124.2, 3), (21.8, 124.8, 3), (21.9, 125.4, 3), (22.0, 126.0, 3), (22.2, 126.6, 3), (22.5, 127.2, 3), (22.9, 127.9, 3), (23.2, 128.6, 3), (23.4, 129.4, 3), (23.5, 130.2, 3), (23.6, 131.1, 3), (24.0, 132.0, 3), (24.9, 132.6, 3), (26.0, 133.0, 3), (26.8, 133.2, 3), (27.4, 133.2, 3)]",UNNAMED
1949181N06140,"[(5.5, 140.3, 0), (5.6, 140.1, 3), (5.6, 139.8, 3), (5.6, 139.5, 3), (5.6, 139.2, 3), (5.6, 139.0, 3), (5.6, 138.7, 3), (5.6, 138.4, 3), (5.6, 138.1, 3), (5.6, 137.8, 3), (5.6, 137.6, 3), (5.6, 137.4, 3), (5.7, 137.1, 3), (5.7, 136.8, 3), (5.7, 136.5, 3), (5.7, 136.2, 3), (5.8, 135.9, 3), (5.8, 135.6, 3), (5.9, 135.4, 3), (5.9, 135.2, 3), (6.0, 134.9, 3), (6.0, 134.6, 3), (6.1, 134.4, 3), (6.2, 134.2, 3), (6.3, 133.9, 3), (6.4, 133.6, 3), (6.5, 133.4, 3), (6.6, 133.2, 3), (6.8, 133.0, 3), (7.0, 132.8, 3), (7.1, 132.5, 3), (7.2, 132.2, 3), (7.3, 132.0, 3), (7.4, 131.7, 3), (7.5, 131.5, 3), (7.6, 131.3, 3), (7.7, 131.0, 3), (7.7, 130.7, 3), (7.8, 130.4, 3), (7.9, 130.1, 3), (8.1, 129.8, 3), (8.2, 129.5, 3), (8.3, 129.2, 3), (8.5, 128.8, 3), (8.6, 128.4, 3), (8.7, 128.0, 3), (8.8, 127.6, 3), (9.0, 127.1, 3), (9.2, 126.6, 3), (9.3, 126.1, 3), (9.4, 125.7, 3), (9.6, 125.2, 3), (9.8, 124.7, 3), (10.0, 124.1, 3), (10.2, 123.6, 3), (10.5, 123.1, 3), (10.8, 122.7, 3), (11.2, 122.4, 3), (11.6, 122.1, 3), (11.8, 121.9, 3), (12.1, 121.7, 3), (12.5, 121.4, 3), (13.0, 121.0, 3), (13.5, 120.6, 3), (14.0, 120.2, 3), (14.7, 119.6, 3), (15.3, 119.0, 3), (15.7, 118.6, 3), (16.1, 118.2, 3), (16.5, 117.8, 3), (16.9, 117.5, 3), (17.3, 117.3, 3), (17.7, 117.1, 3), (18.1, 116.9, 3), (18.6, 116.6, 3), (19.2, 116.3, 3), (19.8, 116.0, 3), (20.3, 115.7, 3), (20.7, 115.5, 3), (21.1, 115.3, 3), (21.6, 115.0, 3), (22.2, 114.5, 3), (22.6, 113.9, 3), (22.8, 113.4, 3), (22.8, 113.0, 3)]",ELAINE
1949192N19142,"[(19.1, 141.8, 0), (19.2, 141.5, 3), (19.2, 141.1, 3), (19.2, 140.7, 3), (19.3, 140.4, 3), (19.4, 140.0, 3), (19.5, 139.7, 3), (19.6, 139.4, 3), (19.7, 139.1, 3), (19.8, 138.8, 3), (19.8, 138.5, 3), (19.9, 138.3, 3), (20.0, 138.1, 3), (20.0, 137.9, 3), (20.1, 137.7, 3), (20.2, 137.5, 3), (20.3, 137.3, 3), (20.4, 137.1, 3), (20.5, 136.8, 3), (20.7, 136.4, 3), (20.9, 135.9, 3), (21.0, 135.4, 3), (21.2, 135.0, 3), (21.4, 134.5, 3), (21.7, 134.1, 3), (21.9, 133.7, 3), (22.2, 133.3, 3), (22.4, 133.0, 3), (22.7, 132.8, 3), (22.9, 132.5, 3), (23.2, 132.1, 3), (23.5, 131.7, 3), (23.8, 131.3, 3), (24.1, 131.0, 3), (24.4, 130.8, 3), (24.7, 130.6, 3), (25.1, 130.4, 3), (25.4, 130.2, 3), (25.8, 130.1, 3), (26.1, 129.9, 3), (26.5, 129.8, 3), (26.9, 129.7, 3), (27.3, 129.6, 3), (27.7, 129.5, 3), (28.1, 129.5, 3), (28.5, 129.4, 3), (28.9, 129.4, 3), (29.3, 129.3, 3), (29.8, 129.3, 3), (30.3, 129.3, 3), (30.8, 129.3, 3), (31.3, 129.3, 3), (31.8, 129.4, 3), (32.3, 129.4, 3), (32.7, 129.5, 3), (33.1, 129.6, 3), (33.5, 129.8, 3), (33.9, 129.9, 3), (34.4, 130.1, 3), (34.9, 130.4, 3), (35.5, 130.8, 3), (36.1, 131.0, 3), (36.8, 131.3, 3), (37.6, 131.8, 3), (38.4, 132.4, 3), (39.3, 133.2, 3), (40.2, 133.9, 3), (40.9, 134.4, 3), (41.4, 134.7, 3)]",FAYE
1949199N11139,"[(12.2, 134.0, 0), (12.5, 133.8, 3), (12.7, 133.6, 3), (12.9, 133.4, 3), (13.2, 133.2, 3), (13.5, 133.0, 3), (13.9, 132.8, 3), (14.2, 132.5, 3), (14.5, 132.3, 3), (14.8, 132.1, 3), (15.1, 132.0, 3), (15.5, 131.8, 3), (15.9, 131.7, 3), (16.3, 131.5, 3), (16.6, 131.4, 3), (16.9, 131.3, 3), (17.2, 131.2, 3), (17.6, 131.1, 3), (18.0, 131.0, 3), (18.4, 130.9, 3), (18.8, 130.9, 3), (19.1, 130.8, 3), (19.5, 130.8, 3), (19.9, 130.7, 3), (20.3, 130.7, 3), (20.8, 130.7, 3), (21.3, 130.6, 3), (21.8, 130.5, 3), (22.4, 130.4, 3), (23.1, 130.1, 3), (23.9, 129.7, 3), (24.7, 129.2, 3), (25.3, 128.6, 3), (25.8, 127.9, 3), (26.1, 127.2, 3), (26.4, 126.6, 3), (26.6, 126.1, 3), (26.9, 125.6, 3), (27.2, 125.1, 3), (27.5, 124.6, 3), (27.9, 124.1, 3), (28.3, 123.6, 3), (28.8, 123.2, 3), (29.2, 122.8, 3), (29.6, 122.5, 3), (30.0, 122.1, 3), (30.4, 121.7, 3), (30.8, 121.3, 3), (31.2, 121.0, 3), (31.6, 120.9, 3), (32.1, 120.8, 3), (32.5, 120.7, 3), (33.0, 120.6, 3), (33.6, 120.6, 3), (34.2, 120.6, 3), (34.8, 120.6, 3), (35.5, 120.8, 3), (36.2, 121.1, 3), (36.9, 121.6, 3), (37.4, 122.2, 3), (37.8, 123.0, 3), (38.0, 123.8, 3), (38.1, 124.6, 3), (38.2, 125.4, 3), (38.2, 126.2, 3)]",GLORIA
1949200N12156,"[(16.2, 143.7, 0), (16.4, 143.5, 3), (16.6, 143.3, 3), (16.8, 143.1, 3), (17.0, 143.0, 3), (17.4, 142.9, 3), (17.8, 142.8, 3), (18.1, 142.8, 3), (18.5, 142.8, 3), (18.9, 142.9, 3), (19.3, 143.1, 3), (19.7, 143.3, 3), (20.0, 143.5, 3), (20.4, 143.7, 3), (20.8, 143.9, 3), (21.2, 144.0, 3), (21.6, 144.0, 3), (22.0, 143.9, 3), (22.3, 143.8, 3), (22.6, 143.7, 3), (23.0, 143.6, 3), (23.5, 143.4, 3), (24.0, 143.1, 3), (24.6, 142.8, 3), (25.1, 142.3, 3), (25.5, 141.7, 3), (25.8, 141.0, 3), (26.1, 140.5, 3), (26.3, 140.2, 3), (26.5, 140.0, 3), (26.7, 139.9, 3), (27.0, 139.7, 3), (27.3, 139.5, 3), (27.8, 139.3, 3), (28.3, 139.2, 3), (28.7, 139.1, 3), (29.1, 139.0, 3), (29.5, 139.0, 3), (30.0, 139.0, 3), (30.4, 139.1, 3), (30.8, 139.0, 3), (31.3, 138.7, 3), (31.9, 138.3, 3), (32.4, 137.9, 3), (32.8, 137.5, 3), (33.2, 137.1, 3), (33.7, 136.7, 3), (34.2, 136.4, 3), (34.7, 136.1, 3), (35.4, 135.9, 3), (36.0, 135.8, 3), (36.5, 135.7, 3), (36.8, 135.7, 3)]",HESTER
1949206N18114,"[(18.0, 113.5, 0), (18.1, 113.7, 3), (18.2, 113.9, 3), (18.3, 114.1, 3), (18.5, 114.2, 3), (18.7, 114.3, 3), (18.8, 114.5, 3), (18.9, 114.7, 3), (19.0, 114.9, 3), (19.1, 115.1, 3), (19.3, 115.3, 3), (19.4, 115.5, 3), (19.5, 115.7, 3), (19.7, 116.0, 3), (19.9, 116.3, 3), (20.1, 116.6, 3), (20.3, 116.8, 3), (20.6, 117.0, 3), (20.8, 117.3, 3), (21.0, 117.6, 3), (21.1, 117.8, 3), (21.2, 118.0, 3), (21.4, 118.3, 3), (21.5, 118.6, 3), (21.7, 118.9, 3), (21.8, 119.2, 3), (22.0, 119.5, 3), (22.2, 120.0, 3), (22.5, 120.6, 3), (23.1, 121.3, 3), (23.9, 122.0, 3), (24.7, 122.4, 3), (25.6, 122.7, 3), (26.4, 123.0, 3), (27.2, 123.2, 3), (28.0, 123.4, 3), (28.8, 123.6, 3), (29.6, 123.7, 3), (30.4, 123.8, 3), (31.1, 123.8, 3), (31.8, 123.8, 3), (32.4, 123.8, 3), (33.0, 123.8, 3), (33.7, 123.8, 3), (34.4, 123.8, 3)]",IRMA
1949209N24121,"[(24.3, 120.6, 0), (24.5, 120.5, 3), (24.7, 120.4, 3), (24.9, 120.3, 3), (25.0, 120.2, 3), (25.1, 120.1, 3), (25.2, 120.0, 3)]",IRMA
1949211N07139,"[(6.8, 138.5, 0), (6.8, 138.0, 3), (6.9, 137.4, 3), (7.0, 136.8, 3), (7.1, 136.3, 3), (7.3, 135.7, 3), (7.5, 135.2, 3), (7.7, 134.7, 3), (7.9, 134.3, 3), (8.1, 133.8, 3), (8.4, 133.4, 3), (8.7, 132.9, 3), (9.0, 132.5, 3), (9.3, 132.1, 3), (9.7, 131.7, 3), (10.2, 131.2, 3), (10.6, 130.8, 3), (11.0, 130.4, 3), (11.3, 130.1, 3), (11.7, 129.7, 3), (12.0, 129.2, 3), (12.3, 128.7, 3), (12.5, 128.3, 3), (12.7, 127.9, 3), (12.8, 127.5, 3), (13.0, 127.1, 3), (13.1, 126.8, 3), (13.2, 126.4, 3), (13.3, 126.1, 3), (13.4, 125.7, 3), (13.6, 125.4, 3), (13.7, 125.1, 3), (13.8, 124.8, 3), (14.0, 124.4, 3), (14.2, 124.0, 3), (14.3, 123.6, 3), (14.4, 123.2, 3), (14.5, 122.8, 3), (14.6, 122.4, 3), (14.7, 121.9, 3), (14.7, 121.3, 3)]",UNNAMED
