SID,COORDINATES,NAME
1961014N07141,"[(7.9, 135.5, 0), (8.0, 134.9, 3), (8.2, 134.3, 3), (8.5, 133.8, 3), (8.8, 133.4, 3), (9.0, 132.7, 3), (9.2, 132.2, 3), (9.3, 132.1, 3), (9.4, 132.1, 3), (9.4, 132.1, 3), (9.5, 132.0, 3), (9.6, 132.0, 3), (9.7, 131.9, 3), (9.7, 131.8, 3), (9.8, 131.8, 3), (10.1, 131.7, 3), (10.5, 131.7, 3), (10.7, 131.7, 3), (10.9, 131.8, 3), (11.1, 131.9, 3), (11.2, 132.0, 3), (11.4, 132.2, 3), (11.5, 132.4, 3), (11.6, 132.7, 3), (11.7, 132.9, 3), (11.8, 133.1, 3), (11.8, 133.3, 3), (11.8, 133.5, 3), (11.9, 133.8, 3), (11.9, 134.2, 3), (12.0, 134.6, 3), (12.1, 135.0, 3), (12.2, 135.5, 3), (12.3, 136.0, 3), (12.4, 136.6, 3), (12.6, 137.2, 3), (12.8, 137.8, 3), (12.9, 138.5, 3), (13.0, 139.2, 3), (13.1, 139.8, 3), (13.3, 140.2, 3), (13.5, 140.6, 3), (13.7, 140.9, 3), (13.9, 141.3, 3), (14.1, 141.7, 3), (14.4, 142.2, 3), (14.8, 142.8, 3)]",RITA
1961058N06132,"[(8.5, 130.2, 0), (8.5, 130.0, 3), (8.6, 129.8, 3), (8.7, 129.6, 3), (8.9, 129.5, 3), (9.0, 129.4, 3), (9.0, 129.3, 3), (9.1, 129.2, 3), (9.2, 129.2, 3), (9.4, 129.1, 3), (9.6, 129.0, 3), (9.8, 129.0, 3), (9.9, 129.0, 3), (10.0, 129.0, 3), (10.1, 129.1, 3), (10.2, 129.1, 3), (10.4, 129.2, 3), (10.5, 129.3, 3), (10.7, 129.4, 3), (11.0, 129.5, 3), (11.3, 129.5, 3)]",SUSAN
1961081N08148,"[(9.0, 144.0, 0), (9.0, 143.5, 3), (8.9, 142.9, 3), (8.8, 142.3, 3), (8.8, 141.8, 3), (8.8, 141.3, 3), (8.8, 140.8, 3), (8.8, 140.3, 3), (8.8, 139.8, 3), (8.8, 139.1, 3), (8.9, 138.4, 3), (9.0, 138.1, 3), (9.1, 137.8, 3), (9.2, 137.4, 3), (9.4, 136.9, 3), (9.6, 136.5, 3), (9.9, 136.2, 3), (10.1, 136.0, 3), (10.4, 135.8, 3), (10.7, 135.6, 3), (11.0, 135.5, 3), (11.3, 135.4, 3), (11.6, 135.3, 3), (11.8, 135.2, 3), (12.0, 135.1, 3), (12.2, 135.1, 3), (12.4, 135.1, 3), (12.6, 135.1, 3), (12.8, 135.1, 3), (13.0, 135.1, 3), (13.2, 135.1, 3), (13.3, 135.2, 3), (13.5, 135.2, 3), (13.7, 135.2, 3), (14.0, 135.2, 3), (14.2, 135.2, 3), (14.3, 135.1, 3), (14.6, 135.1, 3), (14.8, 135.0, 3), (14.9, 134.9, 3), (15.1, 134.9, 3), (15.4, 134.9, 3), (15.8, 134.8, 3), (16.1, 134.6, 3), (16.4, 134.4, 3), (16.7, 134.3, 3), (17.0, 134.2, 3), (17.3, 134.2, 3), (17.7, 134.2, 3), (18.0, 134.2, 3), (18.3, 134.3, 3), (18.8, 134.4, 3), (19.4, 134.6, 3), (20.0, 134.7, 3), (20.7, 135.0, 3), (21.4, 135.4, 3), (22.0, 136.0, 3)]",TESS
1961100N10110,"[(9.0, 108.9, 0), (8.9, 108.3, 3), (8.9, 107.8, 3), (8.9, 107.3, 3), (8.8, 106.8, 3), (8.7, 106.3, 3), (8.6, 105.8, 3), (8.5, 105.4, 3), (8.3, 105.0, 3)]",VIOLA
1961135N12121,"[(14.5, 115.2, 0), (14.9, 115.0, 3), (15.2, 114.8, 3), (15.4, 114.6, 3), (15.6, 114.4, 3), (15.8, 114.3, 3), (16.1, 114.2, 3), (16.3, 114.1, 3), (16.6, 114.0, 3), (16.8, 113.9, 3), (17.2, 113.8, 3), (17.8, 113.6, 3), (18.4, 113.5, 3), (18.9, 113.5, 3), (19.4, 113.5, 3), (19.9, 113.5, 3), (20.4, 113.6, 3), (20.8, 113.7, 3), (21.2, 113.8, 3), (21.7, 113.9, 3), (22.3, 114.0, 3), (23.1, 114.3, 3), (23.9, 114.8, 3), (24.3, 115.3, 3), (24.7, 116.0, 3), (25.3, 116.9, 3), (26.0, 117.9, 3), (26.6, 118.8, 3), (27.1, 119.7, 3), (27.6, 120.7, 3), (28.0, 121.8, 3), (28.5, 123.3, 3), (29.0, 124.8, 3), (29.4, 125.9, 3), (29.7, 127.1, 3), (29.8, 128.8, 3), (29.8, 130.9, 3)]",ALICE
1961141N09135,"[(10.4, 133.8, 0), (10.6, 133.6, 3), (10.9, 133.3, 3), (11.5, 132.7, 3), (12.1, 131.9, 3), (12.5, 131.2, 3), (12.9, 130.6, 3), (13.2, 129.9, 3), (13.5, 129.3, 3), (13.8, 128.7, 3), (14.2, 128.2, 3), (14.5, 127.7, 3), (14.8, 127.2, 3), (15.0, 126.8, 3), (15.2, 126.4, 3), (15.5, 126.1, 3), (15.8, 125.8, 3), (16.0, 125.4, 3), (16.3, 125.0, 3), (16.7, 124.6, 3), (17.1, 124.2, 3), (17.5, 123.9, 3), (17.9, 123.7, 3), (18.3, 123.3, 3), (18.8, 122.9, 3), (19.3, 122.5, 3), (19.7, 122.2, 3), (20.1, 122.0, 3), (20.5, 121.8, 3), (21.0, 121.5, 3), (21.5, 121.3, 3), (22.0, 121.1, 3), (22.6, 121.0, 3), (23.2, 120.9, 3), (23.8, 120.8, 3), (24.5, 120.6, 3), (25.1, 120.5, 3), (25.7, 120.5, 3), (26.3, 120.6, 3), (27.0, 120.7, 3), (27.8, 120.8, 3), (28.5, 120.9, 3), (29.4, 121.1, 3), (30.4, 121.5, 3), (31.7, 122.3, 3), (33.3, 123.9, 3), (35.0, 126.0, 3), (36.6, 128.5, 3), (38.0, 130.9, 3), (39.0, 132.7, 3), (39.7, 134.2, 3), (40.4, 135.7, 3), (41.0, 137.0, 3), (41.7, 138.3, 3), (42.4, 139.7, 3), (43.2, 141.2, 3), (44.0, 142.9, 3)]",BETTY
1961144N17112,"[(17.4, 112.3, 0), (17.3, 112.2, 3), (17.1, 112.2, 3), (16.9, 112.2, 3), (16.7, 112.1, 3), (16.5, 112.1, 3), (16.3, 112.0, 3), (16.1, 111.9, 3), (16.0, 111.9, 3), (15.8, 111.9, 3), (15.7, 112.0, 3), (15.6, 112.0, 3), (15.5, 112.1, 3), (15.4, 112.2, 3), (15.3, 112.3, 3), (15.2, 112.4, 3), (15.2, 112.5, 3), (15.2, 112.6, 3), (15.2, 112.7, 3), (15.2, 112.8, 3), (15.3, 112.9, 3), (15.3, 113.0, 3), (15.3, 113.1, 3), (15.3, 113.2, 3), (15.4, 113.3, 3), (15.5, 113.4, 3), (15.5, 113.5, 3), (15.5, 113.6, 3), (15.6, 113.6, 3), (15.7, 113.7, 3), (15.8, 113.8, 3), (15.9, 113.9, 3), (16.0, 114.0, 3)]",UNNAMED
1961151N08147,"[(10.9, 136.2, 0), (11.3, 135.8, 3), (11.8, 135.5, 3), (12.3, 135.2, 3), (12.7, 134.8, 3), (13.1, 134.3, 3), (13.4, 133.7, 3), (13.8, 133.0, 3), (14.2, 132.2, 3), (14.6, 131.5, 3), (14.9, 130.7, 3), (15.1, 129.9, 3), (15.2, 129.2, 3), (15.5, 128.7, 3), (15.8, 128.2, 3), (15.9, 127.7, 3), (16.0, 127.3, 3), (16.1, 126.8, 3), (16.3, 126.3, 3), (16.6, 126.0, 3), (17.0, 125.8, 3), (17.4, 125.4, 3), (17.8, 125.0, 3), (18.1, 124.8, 3), (18.5, 124.7, 3), (18.9, 124.5, 3), (19.4, 124.3, 3), (19.8, 124.2, 3), (20.2, 124.1, 3), (20.7, 124.0, 3), (21.2, 124.0, 3), (21.7, 124.0, 3), (22.2, 124.0, 3), (22.7, 124.0, 3), (23.2, 124.0, 3)]",UNNAMED
1961155N16110,"[(17.0, 112.0, 0), (17.6, 112.0, 3), (18.1, 112.0, 3), (18.5, 112.0, 3), (18.8, 112.0, 3)]",UNNAMED
1961171N11115,"[(13.5, 115.0, 0), (13.8, 115.0, 3), (14.0, 115.0, 3), (14.1, 115.0, 3), (14.2, 115.0, 3), (14.3, 115.0, 3), (14.4, 114.9, 3), (14.5, 114.9, 3), (14.6, 114.9, 3), (14.7, 114.9, 3), (14.8, 114.8, 3), (14.9, 114.7, 3), (15.1, 114.6, 3), (15.2, 114.5, 3), (15.4, 114.5, 3), (15.6, 114.4, 3), (15.7, 114.3, 3), (15.8, 114.3, 3), (16.0, 114.2, 3), (16.2, 114.1, 3), (16.3, 113.9, 3), (16.3, 113.8, 3), (16.4, 113.7, 3), (16.5, 113.5, 3), (16.7, 113.2, 3), (16.8, 112.8, 3), (16.8, 112.4, 3), (16.9, 111.9, 3), (17.0, 111.3, 3), (17.1, 110.8, 3), (17.2, 110.4, 3), (17.3, 109.9, 3), (17.3, 109.4, 3), (17.4, 109.0, 3), (17.5, 108.7, 3), (17.7, 108.3, 3), (17.9, 107.8, 3), (18.1, 107.4, 3), (18.2, 107.0, 3)]",CORA
