SID,COORDINATES,NAME
1989305N07105,"[(8.0, 103.0, 0), (8.0, 102.8, 3), (8.0, 102.6, 3), (8.0, 102.5, 3), (8.0, 102.5, 3), (8.1, 102.5, 3), (8.2, 102.5, 3), (8.4, 102.5, 3), (8.5, 102.5, 3), (8.7, 102.4, 3), (8.8, 102.2, 3), (9.0, 102.0, 3), (9.1, 101.9, 3), (9.2, 101.8, 3), (9.3, 101.7, 3), (9.4, 101.6, 3), (9.5, 101.5, 3), (9.7, 101.4, 3), (9.9, 101.2, 3), (10.1, 101.0, 3), (10.4, 100.8, 3), (10.6, 100.6, 3), (10.8, 100.3, 3), (10.9, 99.9, 3), (11.0, 99.5, 3), (11.0, 99.0, 3), (11.0, 98.5, 3), (11.0, 98.0, 3), (11.1, 97.5, 3), (11.1, 97.0, 3), (11.2, 96.6, 3), (11.4, 96.1, 3), (11.5, 95.7, 3), (11.7, 95.2, 3), (11.9, 94.8, 3), (12.1, 94.3, 3), (12.3, 93.9, 3), (12.4, 93.4, 3), (12.6, 92.9, 3), (12.8, 92.5, 3), (13.0, 92.0, 3), (13.1, 91.5, 3), (13.2, 91.1, 3), (13.4, 90.6, 3), (13.5, 90.1, 3), (13.6, 89.6, 3), (13.7, 89.1, 3), (13.8, 88.6, 3), (13.9, 88.1, 3), (14.0, 87.6, 3), (14.0, 87.0, 3), (14.1, 86.5, 3), (14.2, 85.9, 3), (14.3, 85.3, 3), (14.4, 84.7, 3), (14.4, 84.1, 3), (14.5, 83.4, 3), (14.6, 82.7, 3), (14.6, 82.0, 3), (14.7, 81.3, 3), (14.8, 80.7, 3), (14.9, 80.2, 3), (15.0, 79.7, 3), (15.1, 79.2, 3), (15.2, 78.8, 3)]",GAY
1992311N06107,"[(7.5, 86.5, 0), (7.5, 86.0, 3), (7.5, 85.5, 3), (7.5, 85.0, 3), (7.5, 84.5, 3), (7.5, 84.0, 3), (7.5, 83.5, 3), (7.2, 83.0, 3), (7.0, 82.5, 3), (6.9, 82.0, 3), (7.0, 81.5, 3), (7.3, 80.7, 3), (7.5, 80.0, 3), (7.5, 79.7, 3), (7.5, 79.5, 3), (7.5, 79.2, 3), (7.5, 79.0, 3), (7.7, 78.8, 3), (8.0, 78.5, 3), (8.5, 78.0, 3), (9.0, 77.5, 3), (9.3, 77.5, 3), (9.5, 77.5, 3), (9.6, 77.3, 3), (9.8, 77.0, 3), (10.2, 76.8, 3), (10.5, 76.5, 3), (10.6, 76.2, 3), (10.5, 76.0, 3), (10.5, 75.8, 3), (10.5, 75.5, 3), (10.5, 75.2, 3), (10.5, 75.0, 3), (10.7, 74.7, 3), (11.0, 74.5, 3), (11.2, 74.5, 3), (11.5, 74.5, 3), (11.7, 74.5, 3), (12.0, 74.5, 3), (12.3, 74.5, 3), (12.5, 74.5, 3), (12.5, 74.5, 3), (12.5, 74.5, 3), (13.0, 74.5, 3), (13.5, 74.5, 3), (13.5, 74.5, 3), (13.5, 74.5, 3), (13.7, 74.5, 3), (14.0, 74.5, 3), (14.2, 74.5, 3), (14.5, 74.5, 3), (14.8, 74.7, 3), (15.0, 75.0, 3)]",UNNAMED
1992314N08141,"[(9.5, 97.0, 0), (9.5, 96.2, 3), (9.5, 95.5, 3), (9.5, 95.0, 3), (9.5, 94.5, 3), (9.5, 94.0, 3), (9.5, 93.5, 3), (9.5, 92.8, 3), (9.5, 92.0, 3), (9.5, 91.2, 3), (9.5, 90.5, 3), (9.7, 90.2, 3), (10.0, 90.0, 3), (10.2, 89.8, 3), (10.5, 89.5, 3), (10.7, 89.0, 3), (11.0, 88.5, 3), (11.4, 88.1, 3), (12.0, 87.8, 3), (12.7, 87.6, 3), (13.5, 87.5, 3), (14.0, 87.5, 3), (14.5, 87.5, 3), (15.3, 87.5, 3), (16.0, 87.5, 3), (16.3, 87.4, 3), (16.5, 87.5, 3), (17.0, 88.0, 3), (17.5, 88.5, 3), (17.8, 88.5, 3), (18.0, 88.5, 3), (18.3, 88.7, 3), (18.5, 89.0, 3), (18.7, 89.3, 3), (19.0, 89.5, 3), (19.3, 89.7, 3), (19.5, 90.0, 3), (19.5, 90.5, 3), (19.5, 91.0, 3), (19.7, 91.2, 3), (20.0, 91.5, 3), (20.0, 92.0, 3), (20.0, 92.5, 3), (20.2, 93.0, 3), (20.5, 93.5, 3), (20.8, 93.8, 3), (21.0, 94.0, 3)]",FORREST
1993331N07108,"[(8.0, 91.0, 0), (7.0, 91.0, 3), (7.3, 90.1, 3), (8.0, 89.0, 3), (8.1, 88.4, 3), (8.0, 88.0, 3), (8.0, 87.8, 3), (8.0, 87.5, 3), (8.0, 87.0, 3), (8.5, 86.5, 3), (8.8, 86.0, 3), (9.0, 85.5, 3), (9.0, 85.2, 3), (9.0, 85.0, 3), (9.3, 84.9, 3), (9.5, 84.5, 3), (9.5, 83.5, 3), (9.5, 83.0, 3), (9.7, 82.5, 3), (10.0, 82.0, 3), (10.3, 81.7, 3), (10.5, 81.5, 3), (10.7, 81.3, 3), (10.8, 80.8, 3), (11.0, 80.0, 3), (11.5, 79.0, 3), (11.8, 78.6, 3), (12.0, 78.5, 3), (12.2, 78.3, 3), (12.5, 78.0, 3)]",UNNAMED
1995255N14104,"[(19.0, 90.0, 0), (19.5, 89.5, 3), (19.8, 89.2, 3), (20.0, 89.0, 3), (20.5, 88.5, 3), (21.0, 88.0, 3), (20.9, 87.8, 3), (21.0, 87.5, 3), (21.8, 86.8, 3), (22.0, 86.5, 3), (22.5, 86.0, 3), (23.4, 85.3, 3)]",UNNAMED
1997298N06140,"[(12.5, 98.0, 0), (13.0, 97.2, 3), (13.0, 97.0, 3), (13.5, 96.5, 3), (13.8, 96.2, 3), (14.0, 96.0, 3), (14.0, 95.4, 3), (14.0, 95.0, 3), (14.0, 95.0, 3), (14.0, 95.0, 3), (14.2, 94.5, 3), (14.5, 94.0, 3), (14.5, 94.0, 3), (14.5, 94.0, 3), (14.4, 93.7, 3), (14.5, 93.5, 3), (15.0, 93.5, 3), (15.0, 93.0, 3), (15.0, 92.0, 3), (15.0, 92.0, 3), (15.1, 92.1, 3), (15.2, 92.2, 3), (15.4, 92.4, 3), (15.5, 92.2, 3), (15.5, 91.5, 3), (15.5, 91.5, 3), (15.5, 91.5, 3), (15.5, 91.5, 3), (15.5, 91.5, 3), (15.5, 91.5, 3), (15.5, 91.6, 3), (15.5, 91.5, 3), (15.5, 91.0, 3), (15.5, 90.5, 3), (15.5, 90.5, 3), (15.5, 90.5, 3), (15.5, 90.5, 3), (15.5, 90.5, 3), (15.5, 90.6, 3), (15.5, 90.5, 3), (15.5, 90.0, 3), (15.5, 90.0, 3), (15.5, 90.0, 3)]",LINDA
1998320N10102,"[(12.0, 92.5, 0), (12.0, 92.5, 3), (12.3, 92.0, 3), (12.5, 91.5, 3), (12.5, 91.5, 3), (12.5, 91.0, 3), (13.2, 90.0, 3), (14.0, 89.0, 3), (14.5, 88.5, 3), (15.0, 88.0, 3), (15.5, 88.0, 3), (15.5, 88.0, 3), (15.7, 88.0, 3), (16.0, 88.0, 3), (16.2, 87.7, 3), (16.5, 87.5, 3), (17.0, 87.5, 3), (17.5, 87.5, 3), (18.0, 87.5, 3), (19.0, 87.5, 3), (19.4, 87.5, 3), (19.5, 87.5, 3), (19.9, 87.7, 3), (20.5, 88.0, 3), (21.5, 88.5, 3), (22.0, 89.0, 3), (22.3, 89.5, 3), (22.5, 90.0, 3), (22.6, 90.3, 3), (22.7, 90.5, 3), (22.8, 90.6, 3), (22.9, 90.5, 3), (23.0, 90.5, 3)]",UNNAMED
2003295N09101,"[(13.5, 93.5, 0), (13.6, 92.8, 3), (13.7, 92.2, 3), (13.8, 91.6, 3), (13.9, 91.0, 3), (14.0, 90.5, 3), (14.1, 90.0, 3), (14.3, 89.6, 3), (14.5, 89.0, 3), (14.8, 88.2, 3), (15.1, 87.2, 3), (15.5, 86.2, 3), (16.0, 85.3, 3), (16.5, 84.5, 3), (17.1, 83.9, 3), (17.8, 83.5, 3)]",UNNAMED
2010305N06105,"[(8.0, 92.0, 0), (8.5, 91.0, 3), (8.5, 90.5, 3), (8.5, 90.2, 3), (8.5, 90.0, 3), (8.5, 89.8, 3), (8.5, 89.5, 3), (8.8, 89.0, 3), (9.0, 88.5, 3), (9.0, 88.0, 3), (9.0, 87.5, 3), (9.0, 87.5, 3), (9.5, 87.0, 3), (9.5, 87.0, 3), (10.0, 86.5, 3), (10.0, 86.0, 3), (10.0, 85.5, 3), (10.0, 85.5, 3), (10.0, 85.0, 3), (10.0, 85.0, 3), (11.0, 84.5, 3), (11.0, 84.5, 3), (11.0, 84.0, 3), (11.0, 84.0, 3), (11.0, 83.5, 3), (12.0, 83.0, 3), (12.0, 82.5, 3), (12.0, 81.5, 3), (13.0, 81.0, 3), (13.0, 80.5, 3), (13.0, 80.0, 3), (13.3, 79.6, 3), (14.0, 79.0, 3), (15.0, 78.0, 3)]",JAL
2013305N07141,"[(11.5, 86.5, 0), (11.5, 86.0, 3), (11.5, 86.0, 3), (11.5, 86.0, 3), (11.5, 86.0, 3), (11.5, 85.8, 3), (11.5, 85.5, 3), (11.5, 85.2, 3), (11.5, 85.0, 3), (11.5, 85.0, 3), (11.5, 85.0, 3), (11.0, 84.8, 3), (10.5, 84.5, 3), (10.5, 84.5, 3), (10.5, 84.5, 3), (10.3, 84.3, 3), (10.0, 84.0, 3), (9.5, 83.5, 3), (9.5, 83.5, 3), (9.5, 83.3, 3), (9.5, 83.0, 3), (9.7, 82.5, 3), (10.0, 82.0, 3), (10.2, 81.9, 3), (10.5, 81.5, 3), (11.0, 80.5, 3), (11.0, 80.0, 3), (11.0, 79.5, 3), (11.0, 79.0, 3), (11.0, 78.5, 3), (11.0, 78.0, 3)]",UNNAMED
