SID,COORDINATES,NAME
1951050N20139,"[(20.0, 138.5, 0), (19.7, 138.2, 3), (20.0, 138.5, 3), (21.4, 140.0, 3), (23.0, 142.1, 3), (24.0, 144.0, 3), (25.0, 146.0, 3), (26.4, 148.4, 3), (27.6, 150.6, 3), (28.3, 152.0, 3), (28.9, 153.3, 3), (30.1, 155.3, 3), (31.3, 157.5, 3), (32.0, 159.8, 3), (32.6, 162.1, 3), (33.2, 164.1, 3), (33.9, 166.0, 3), (34.9, 168.0, 3), (36.0, 170.0, 3)]",UNNAMED
1951077N06158,"[(5.7, 158.3, 0), (5.8, 158.9, 3), (6.0, 159.4, 3), (6.2, 159.9, 3), (6.4, 160.4, 3), (6.6, 160.9, 3), (6.7, 161.4, 3), (6.8, 162.0, 3), (7.0, 162.5, 3), (7.2, 163.0, 3), (7.3, 163.5, 3), (7.4, 164.1, 3), (7.5, 164.7, 3), (7.6, 165.5, 3), (7.6, 166.2, 3), (7.7, 166.8, 3), (7.8, 167.4, 3), (7.9, 168.0, 3), (8.0, 168.5, 3), (8.1, 169.0, 3), (8.2, 169.5, 3), (8.3, 170.0, 3), (8.5, 170.5, 3), (8.7, 171.1, 3), (8.8, 171.6, 3), (8.9, 171.8, 3), (9.1, 171.9, 3), (9.2, 172.1, 3), (9.4, 172.2, 3), (9.6, 172.2, 3), (9.8, 172.2, 3), (10.0, 172.1, 3), (10.2, 172.0, 3), (10.3, 171.9, 3), (10.3, 171.7, 3), (10.4, 171.6, 3), (10.5, 171.4, 3), (10.6, 171.3, 3), (10.7, 171.1, 3), (10.8, 171.0, 3), (11.0, 170.7, 3), (11.2, 170.2, 3), (11.3, 169.6, 3), (11.2, 169.0, 3), (11.0, 168.4, 3), (10.7, 167.6, 3), (10.5, 166.8, 3), (10.4, 166.0, 3), (10.3, 165.2, 3), (10.2, 164.4, 3), (10.2, 163.6, 3), (10.2, 163.0, 3), (10.3, 162.6, 3), (10.5, 162.4, 3), (10.7, 162.2, 3), (11.0, 162.0, 3), (11.2, 161.7, 3), (11.3, 161.5, 3), (11.3, 161.2, 3), (11.3, 160.8, 3), (11.3, 160.3, 3), (11.1, 159.9, 3), (10.9, 159.5, 3), (10.7, 159.1, 3), (10.5, 158.7, 3), (10.3, 158.3, 3), (10.2, 157.8, 3), (10.1, 157.3, 3), (10.0, 156.8, 3), (10.0, 156.3, 3), (10.0, 155.9, 3), (10.0, 155.5, 3), (10.0, 155.0, 3)]",GEORGIA
1951105N08152,"[(8.0, 151.5, 0), (8.1, 150.9, 3), (8.3, 150.3, 3), (8.5, 149.8, 3), (8.6, 149.3, 3), (8.7, 148.8, 3), (8.8, 148.3, 3), (9.0, 147.7, 3), (9.2, 147.2, 3), (9.4, 146.8, 3), (9.6, 146.4, 3), (9.9, 146.0, 3), (10.2, 145.5, 3), (10.6, 145.0, 3), (11.0, 144.6, 3), (11.3, 144.3, 3), (11.7, 144.0, 3), (12.1, 143.7, 3), (12.5, 143.5, 3), (13.0, 143.3, 3), (13.5, 143.1, 3), (13.9, 142.9, 3), (14.3, 142.7, 3), (14.6, 142.6, 3), (15.0, 142.5, 3), (15.5, 142.5, 3), (16.0, 142.5, 3), (16.2, 142.4, 3), (16.2, 142.2, 3), (16.1, 142.0, 3), (16.0, 141.9, 3), (15.9, 141.8, 3), (15.8, 141.6, 3), (15.8, 141.3, 3), (15.9, 141.0, 3), (15.9, 140.6, 3), (15.9, 140.2, 3), (15.8, 139.8, 3), (15.7, 139.3, 3), (15.5, 138.8, 3), (15.3, 138.2, 3), (15.2, 137.6, 3), (15.1, 137.0, 3), (14.9, 136.5, 3), (14.8, 136.0, 3), (14.8, 135.5, 3), (14.8, 135.1, 3), (14.7, 134.7, 3), (14.7, 134.3, 3), (14.7, 133.9, 3), (14.8, 133.5, 3), (14.8, 133.1, 3), (14.8, 132.8, 3), (14.9, 132.4, 3), (15.0, 132.0, 3), (15.1, 131.5, 3), (15.1, 131.0, 3), (15.1, 130.6, 3), (15.2, 130.3, 3), (15.4, 129.9, 3), (15.5, 129.4, 3), (15.5, 129.0, 3), (15.6, 128.7, 3), (15.7, 128.3, 3), (15.9, 127.9, 3), (16.0, 127.5, 3), (16.2, 127.2, 3), (16.6, 127.0, 3), (17.1, 127.0, 3), (17.6, 127.0, 3), (18.0, 127.0, 3)]",HOPE
1951119N06145,"[(6.3, 144.9, 0), (6.3, 144.7, 3), (6.3, 144.5, 3), (6.4, 144.3, 3), (6.5, 144.0, 3), (6.5, 143.8, 3), (6.6, 143.5, 3), (6.8, 143.2, 3), (7.0, 142.9, 3), (7.3, 142.7, 3), (7.6, 142.4, 3), (7.9, 142.1, 3), (8.1, 141.7, 3), (8.1, 141.2, 3), (8.1, 140.7, 3), (8.1, 140.2, 3), (8.1, 139.7, 3), (8.3, 139.2, 3), (8.5, 138.7, 3), (8.7, 138.3, 3), (8.9, 137.8, 3), (9.0, 137.3, 3), (9.0, 136.8, 3), (9.1, 136.3, 3), (9.2, 135.8, 3), (9.4, 135.4, 3), (9.6, 135.1, 3), (9.9, 134.7, 3), (10.2, 134.4, 3), (10.4, 134.2, 3), (10.5, 134.1, 3), (10.7, 133.9, 3), (10.8, 133.6, 3), (10.9, 133.3, 3), (11.0, 132.9, 3), (11.0, 132.5, 3), (11.0, 132.2, 3), (11.0, 132.1, 3), (10.9, 131.9, 3), (10.8, 131.6, 3), (10.8, 131.2, 3), (11.0, 130.8, 3), (11.4, 130.4, 3), (11.9, 129.9, 3), (12.2, 129.3, 3), (12.1, 128.5, 3), (11.9, 127.8, 3), (11.7, 127.3, 3), (11.5, 126.8, 3), (11.4, 126.2, 3), (11.5, 125.6, 3), (11.7, 125.2, 3), (11.9, 124.8, 3), (12.2, 124.4, 3), (12.5, 124.0, 3), (12.7, 123.7, 3), (13.0, 123.4, 3), (13.3, 123.1, 3), (13.6, 122.7, 3), (13.8, 122.2, 3), (14.0, 121.7, 3), (14.1, 121.2, 3), (14.3, 120.6, 3), (14.5, 119.9, 3), (14.7, 119.3, 3), (15.0, 118.8, 3), (15.3, 118.4, 3), (15.7, 118.0, 3), (16.2, 117.8, 3), (16.7, 117.8, 3), (17.2, 118.0, 3), (17.8, 118.1, 3), (18.3, 118.3, 3), (18.7, 118.5, 3), (19.1, 118.7, 3), (19.5, 119.0, 3), (19.9, 119.3, 3), (20.4, 119.7, 3), (21.0, 120.3, 3), (21.6, 121.0, 3), (22.1, 121.9, 3), (22.7, 122.7, 3), (23.2, 123.6, 3), (23.6, 124.4, 3), (24.0, 125.3, 3), (24.5, 126.6, 3), (25.0, 128.1, 3), (25.6, 129.4, 3), (26.1, 130.7, 3), (26.5, 132.0, 3), (26.7, 133.3, 3), (26.8, 134.6, 3), (27.0, 136.0, 3), (27.4, 138.0, 3), (27.7, 139.9, 3), (27.8, 141.3, 3), (27.7, 142.4, 3), (27.6, 143.5, 3), (27.5, 144.5, 3), (27.4, 145.5, 3), (27.4, 145.8, 3), (27.8, 144.9, 3), (28.2, 143.7, 3), (28.2, 143.3, 3), (28.0, 143.0, 3), (27.8, 142.6, 3), (27.7, 142.2, 3), (27.8, 142.0, 3), (28.0, 141.9, 3), (28.2, 141.8, 3), (28.5, 141.7, 3), (28.7, 141.7, 3), (29.0, 141.8, 3), (29.5, 141.8, 3), (30.0, 142.0, 3), (30.6, 142.4, 3), (31.1, 143.0, 3), (31.4, 143.5, 3), (31.4, 144.2, 3), (31.2, 145.0, 3), (31.1, 146.0, 3), (31.3, 147.2, 3), (31.6, 148.4, 3), (31.7, 149.1, 3), (32.0, 150.0, 3), (33.0, 151.9, 3), (34.0, 154.0, 3), (34.4, 155.6, 3), (34.8, 157.0, 3), (35.7, 158.5, 3), (37.0, 160.0, 3)]",IRIS
1951124N04167,"[(6.5, 157.0, 0), (7.0, 157.0, 3), (7.5, 157.0, 3), (7.9, 157.1, 3), (8.2, 157.2, 3), (8.6, 157.2, 3), (9.0, 157.3, 3), (9.5, 157.4, 3), (10.0, 157.6, 3), (10.4, 157.8, 3), (10.8, 158.0, 3), (11.3, 158.3, 3), (11.7, 158.7, 3), (12.0, 159.0, 3), (12.4, 159.4, 3), (12.9, 159.9, 3), (13.4, 160.4, 3), (13.6, 160.6, 3), (13.7, 160.7, 3), (13.8, 160.8, 3), (13.9, 160.9, 3), (14.0, 161.0, 3), (14.1, 161.1, 3), (14.2, 161.2, 3), (14.2, 161.3, 3), (14.0, 161.3, 3), (13.7, 161.1, 3), (13.6, 160.8, 3), (13.6, 160.5, 3), (13.6, 160.2, 3), (13.6, 159.8, 3), (13.7, 159.4, 3), (13.8, 158.9, 3), (14.0, 158.4, 3), (14.2, 157.8, 3), (14.5, 157.3, 3), (14.8, 156.8, 3), (15.1, 156.3, 3), (15.5, 155.9, 3), (16.0, 155.6, 3), (16.6, 155.4, 3), (17.1, 155.2, 3), (17.6, 155.0, 3), (18.1, 154.8, 3), (18.5, 154.5, 3), (19.0, 154.2, 3), (19.4, 153.8, 3), (19.8, 153.5, 3), (20.2, 153.3, 3), (20.6, 153.0, 3), (21.0, 152.8, 3), (21.4, 152.6, 3), (21.8, 152.4, 3), (22.2, 152.3, 3), (22.6, 152.3, 3), (23.1, 152.3, 3), (23.5, 152.4, 3), (23.9, 152.6, 3), (24.2, 153.0, 3), (24.6, 153.4, 3), (25.0, 153.8, 3), (25.4, 154.4, 3), (25.9, 155.0, 3), (26.5, 155.5, 3), (27.1, 156.0, 3), (27.6, 156.6, 3), (28.1, 157.1, 3), (28.5, 157.5, 3), (29.0, 158.1, 3), (29.8, 159.0, 3), (31.0, 160.0, 3), (32.5, 161.0, 3), (34.0, 162.1, 3), (35.0, 163.4, 3), (35.8, 164.7, 3), (36.5, 165.8, 3), (37.0, 167.0, 3), (37.5, 168.5, 3), (38.0, 170.1, 3), (38.5, 171.4, 3), (38.9, 172.5, 3), (39.4, 173.7, 3), (39.8, 174.8, 3), (40.2, 175.9, 3), (40.5, 176.9, 3), (40.8, 177.9, 3), (41.0, 178.9, 3), (41.3, 179.9, 3), (41.6, 180.8, 3)]",JOAN
1951177N12136,"[(11.0, 135.0, 0), (11.3, 134.5, 3), (11.5, 134.0, 3), (11.7, 133.5, 3), (12.0, 133.0, 3), (12.3, 132.5, 3), (12.7, 132.1, 3), (13.1, 131.6, 3), (13.5, 131.1, 3), (13.7, 130.5, 3), (14.0, 130.0, 3), (14.4, 129.5, 3), (14.8, 129.0, 3), (15.2, 128.4, 3), (15.6, 128.0, 3), (16.0, 127.8, 3), (16.3, 127.7, 3), (16.6, 127.5, 3), (17.0, 127.4, 3), (17.5, 127.3, 3), (17.9, 127.2, 3), (18.2, 127.1, 3), (18.5, 127.1, 3), (18.8, 127.0, 3), (19.3, 126.9, 3), (20.2, 126.8, 3), (21.2, 126.9, 3), (22.0, 127.4, 3), (22.6, 128.0, 3), (23.2, 128.5, 3), (23.7, 128.9, 3), (24.3, 129.1, 3), (25.0, 129.3, 3), (25.8, 129.5, 3), (26.7, 129.8, 3), (27.4, 130.2, 3), (28.0, 130.6, 3), (28.8, 130.8, 3), (29.7, 131.0, 3), (30.5, 131.3, 3), (31.2, 131.6, 3), (31.9, 132.0, 3), (32.5, 132.5, 3), (33.2, 133.1, 3), (33.8, 133.8, 3), (34.4, 134.3, 3), (34.8, 135.0, 3), (35.0, 136.3, 3), (35.0, 137.5, 3), (34.7, 137.7, 3), (34.6, 138.6, 3), (35.3, 142.1, 3), (36.0, 146.0, 3), (35.9, 147.8, 3), (35.7, 149.2, 3), (35.8, 151.2, 3), (36.2, 153.7, 3)]",KATE
1951181N21122,"[(25.0, 122.6, 0), (25.1, 123.1, 3), (25.2, 123.6, 3), (25.3, 124.2, 3), (25.5, 124.7, 3), (25.7, 125.2, 3), (26.0, 125.7, 3), (26.2, 126.2, 3), (26.4, 126.6, 3), (26.7, 127.0, 3), (27.0, 127.5, 3), (27.3, 128.2, 3), (27.6, 129.0, 3), (28.1, 129.7, 3), (28.5, 130.2, 3), (28.8, 130.6, 3), (29.0, 131.0, 3), (29.2, 131.4, 3), (29.5, 131.7, 3), (29.7, 132.0, 3), (30.0, 132.3, 3), (30.2, 132.6, 3), (30.5, 133.0, 3), (31.2, 133.7, 3), (32.0, 134.5, 3), (32.5, 135.3, 3), (32.8, 136.3, 3), (33.1, 137.7, 3), (33.5, 139.2, 3), (33.9, 140.5, 3), (34.5, 141.5, 3), (35.2, 142.3, 3), (36.0, 143.0, 3), (36.8, 143.9, 3), (37.5, 145.0, 3), (37.7, 146.6, 3), (37.7, 148.4, 3), (37.7, 150.3, 3), (37.7, 152.0, 3), (37.9, 153.4, 3), (38.2, 154.7, 3), (38.7, 155.9, 3), (39.1, 157.0, 3), (39.3, 158.3, 3), (39.4, 159.5, 3), (39.3, 160.6, 3), (39.1, 161.7, 3), (39.0, 162.8, 3), (38.9, 164.0, 3), (38.9, 165.1, 3), (38.9, 166.3, 3), (38.9, 167.5, 3), (39.0, 168.6, 3), (39.3, 169.7, 3), (39.7, 170.7, 3), (40.2, 171.7, 3), (40.8, 172.6, 3), (41.4, 173.3, 3), (42.0, 174.0, 3), (42.6, 174.8, 3), (43.2, 175.6, 3), (43.7, 176.4, 3), (44.0, 177.3, 3), (44.2, 178.4, 3), (44.3, 179.5, 3), (44.2, -179.4, 3), (44.0, 181.7, 3)]",UNNAMED
1951203N22144,"[(21.5, 144.3, 0), (22.0, 143.5, 3), (22.6, 142.8, 3), (23.2, 142.1, 3), (23.7, 141.5, 3), (24.2, 140.9, 3), (24.7, 140.3, 3), (25.2, 139.8, 3), (25.6, 139.3, 3), (26.0, 138.9, 3), (26.4, 138.6, 3), (26.8, 138.3, 3), (27.3, 138.0, 3), (27.8, 137.7, 3), (28.3, 137.5, 3), (28.8, 137.2, 3), (29.3, 137.0, 3), (29.7, 136.8, 3), (30.0, 136.6, 3), (30.3, 136.4, 3), (30.6, 136.3, 3), (30.8, 136.3, 3), (31.0, 136.3, 3), (31.3, 136.4, 3), (31.5, 136.6, 3), (31.7, 136.8, 3), (31.8, 137.0, 3), (32.0, 137.2, 3), (32.2, 137.5, 3), (32.4, 137.7, 3), (32.6, 138.0, 3), (32.8, 138.3, 3), (33.0, 138.6, 3)]",UNNAMED
1951206N11145,"[(10.5, 140.4, 0), (10.6, 139.8, 3), (10.7, 139.1, 3), (11.0, 138.4, 3), (11.4, 137.7, 3), (11.7, 137.1, 3), (12.1, 136.6, 3), (12.4, 136.0, 3), (12.8, 135.4, 3), (13.2, 134.8, 3), (13.6, 134.1, 3), (13.7, 133.4, 3), (13.7, 132.7, 3), (13.8, 131.9, 3), (13.9, 131.2, 3), (14.0, 130.7, 3), (14.2, 130.2, 3), (14.5, 129.7, 3), (14.8, 129.2, 3), (15.1, 128.7, 3), (15.3, 128.2, 3), (15.6, 127.7, 3), (15.8, 127.1, 3), (15.8, 126.2, 3), (15.8, 125.3, 3), (16.0, 124.6, 3), (16.2, 124.0, 3), (16.4, 123.5, 3), (16.6, 123.1, 3), (16.9, 122.7, 3), (17.3, 122.4, 3), (17.6, 122.0, 3), (17.9, 121.7, 3), (18.1, 121.4, 3), (18.4, 121.0, 3), (18.7, 120.6, 3), (19.0, 120.2, 3), (19.2, 119.8, 3), (19.3, 119.3, 3), (19.1, 118.9, 3), (19.0, 118.5, 3), (19.2, 118.0, 3), (19.5, 117.5, 3), (19.8, 117.2, 3), (20.2, 116.8, 3), (20.6, 116.3, 3), (20.8, 115.7, 3), (20.8, 115.0, 3), (20.7, 114.2, 3), (21.0, 113.5, 3), (21.3, 112.9, 3), (21.5, 112.5, 3), (21.6, 112.2, 3), (21.6, 111.9, 3), (21.7, 111.6, 3), (21.8, 111.2, 3), (22.0, 110.7, 3), (22.1, 110.2, 3), (22.2, 109.8, 3), (22.3, 109.4, 3), (22.4, 109.0, 3), (22.5, 108.3, 3), (22.6, 107.6, 3), (22.9, 106.9, 3), (23.2, 106.2, 3), (23.4, 105.6, 3), (23.5, 105.0, 3), (23.7, 104.4, 3), (24.0, 103.8, 3), (24.3, 103.3, 3), (24.6, 102.8, 3), (24.8, 102.3, 3), (25.0, 102.0, 3), (25.4, 102.3, 3), (25.7, 103.0, 3), (25.9, 103.6, 3), (26.1, 104.3, 3), (26.3, 104.9, 3), (26.5, 105.5, 3)]",LOUISE
1951221N10136,"[(10.0, 136.0, 0), (10.4, 135.2, 3), (11.0, 134.5, 3), (11.8, 134.0, 3), (12.6, 133.5, 3), (13.1, 132.9, 3), (13.5, 132.3, 3), (13.8, 131.6, 3), (14.0, 131.0, 3), (14.3, 130.5, 3), (14.6, 130.0, 3), (14.8, 129.5, 3), (15.0, 129.0, 3), (15.2, 128.3, 3), (15.4, 127.6, 3), (15.6, 126.8, 3), (16.0, 126.0, 3), (16.6, 125.1, 3), (17.3, 124.3, 3), (17.8, 123.6, 3), (18.3, 122.9, 3), (18.7, 121.9, 3), (19.0, 121.0, 3), (19.5, 120.4, 3), (20.0, 120.0, 3), (20.3, 119.8, 3), (20.5, 119.8, 3), (20.7, 119.7, 3), (20.9, 119.7, 3), (21.1, 119.7, 3), (21.3, 119.7, 3), (21.6, 119.6, 3), (21.8, 119.5, 3), (22.0, 119.4, 3), (22.2, 119.3, 3), (22.4, 119.3, 3), (22.5, 119.3, 3), (22.6, 119.2, 3), (22.7, 119.0, 3), (22.8, 118.9, 3), (23.0, 118.8, 3), (23.2, 118.5, 3), (23.3, 118.2, 3), (23.3, 117.9, 3), (23.2, 117.6, 3), (23.1, 117.3, 3), (23.0, 116.9, 3), (22.9, 116.5, 3), (22.8, 116.2, 3), (22.7, 115.9, 3), (22.7, 115.7, 3), (22.6, 115.5, 3), (22.5, 115.2, 3), (22.4, 114.9, 3), (22.3, 114.6, 3), (22.2, 114.4, 3), (22.2, 114.1, 3), (22.1, 113.8, 3), (22.0, 113.5, 3), (21.9, 113.2, 3), (21.8, 112.9, 3), (21.7, 112.6, 3), (21.7, 112.4, 3), (21.6, 112.1, 3), (21.5, 111.9, 3), (21.4, 111.7, 3), (21.3, 111.5, 3), (21.2, 111.4, 3), (21.1, 111.3, 3), (21.1, 111.1, 3), (21.0, 110.8, 3), (20.9, 110.7, 3), (20.8, 110.5, 3), (20.7, 110.3, 3), (20.7, 110.0, 3), (20.7, 109.8, 3), (20.7, 109.5, 3), (20.6, 109.2, 3), (20.6, 109.0, 3), (20.6, 108.8, 3), (20.7, 108.6, 3), (20.8, 108.4, 3), (21.0, 108.2, 3)]",UNNAMED
