SID,COORDINATES,NAME
2015012N09146,"[(8.8, 141.8, 0), (9.0, 141.3, 3), (9.3, 140.8, 3), (9.6, 140.3, 3), (9.9, 139.7, 3), (10.3, 139.1, 3), (10.6, 138.4, 3), (10.9, 137.7, 3), (11.1, 136.9, 3), (11.2, 136.2, 3), (11.2, 135.6, 3), (11.3, 135.0, 3), (11.5, 134.4, 3), (11.6, 133.8, 3), (11.6, 133.3, 3), (11.7, 132.9, 3), (11.7, 132.5, 3), (11.7, 132.0, 3), (11.6, 131.6, 3), (11.6, 131.3, 3), (11.6, 131.0, 3), (11.5, 130.5, 3), (11.4, 129.9, 3), (11.3, 129.2, 3), (11.2, 128.5, 3), (11.1, 127.9, 3), (11.1, 127.4, 3), (11.3, 127.0, 3), (11.5, 126.6, 3), (11.7, 126.1, 3), (11.9, 125.7, 3), (12.1, 125.4, 3), (12.3, 125.1, 3), (12.5, 124.7, 3), (12.8, 124.3, 3), (13.2, 123.8, 3), (13.5, 123.4, 3), (13.7, 123.2, 3), (13.9, 123.1, 3), (14.3, 122.9, 3), (14.9, 122.8, 3), (15.6, 122.7, 3), (16.4, 122.6, 3)]",MEKKHALA
2015038N08158,"[(9.8, 157.8, 0), (10.1, 157.7, 3), (10.4, 157.6, 3), (10.7, 157.6, 3), (11.0, 157.6, 3), (11.3, 157.6, 3), (11.5, 157.6, 3), (11.8, 157.5, 3), (12.0, 157.4, 3), (12.1, 157.3, 3), (12.1, 157.2, 3), (12.1, 157.1, 3), (12.1, 157.0, 3), (12.1, 156.8, 3), (12.1, 156.7, 3), (12.1, 156.6, 3), (12.2, 156.5, 3), (12.3, 156.4, 3), (12.4, 156.2, 3), (12.5, 156.0, 3), (12.6, 155.8, 3), (12.8, 155.6, 3), (13.0, 155.3, 3), (13.3, 155.0, 3), (13.6, 154.7, 3), (13.9, 154.4, 3), (14.2, 154.2, 3), (14.5, 154.1, 3), (14.7, 154.0, 3), (14.9, 153.8, 3), (15.0, 153.5, 3), (15.1, 153.3, 3), (15.2, 153.1, 3), (15.4, 152.9, 3), (15.6, 152.8, 3), (15.8, 152.6, 3), (16.1, 152.5, 3), (16.4, 152.4, 3), (16.6, 152.3, 3)]",HIGOS
2015069N04173,"[(6.5, 170.2, 0), (6.6, 170.0, 3), (6.7, 169.8, 3), (6.7, 169.4, 3), (6.7, 169.0, 3), (6.9, 168.6, 3), (7.1, 168.2, 3), (7.3, 167.8, 3), (7.5, 167.4, 3), (7.7, 166.8, 3), (7.9, 166.1, 3), (8.1, 165.1, 3), (8.3, 164.1, 3), (8.4, 163.3, 3), (8.5, 162.6, 3), (8.7, 161.7, 3), (8.9, 160.9, 3), (9.0, 160.2, 3), (9.1, 159.6, 3), (9.3, 159.0, 3), (9.7, 158.4, 3), (10.1, 157.8, 3), (10.7, 157.0, 3), (11.4, 156.0, 3), (12.0, 155.1, 3), (12.4, 154.4, 3), (12.7, 153.8, 3), (13.0, 152.9, 3), (13.2, 151.9, 3), (13.5, 150.9, 3), (13.7, 150.0, 3), (13.8, 149.2, 3), (13.9, 148.5, 3), (14.0, 147.8, 3), (13.9, 147.0, 3), (13.7, 146.0, 3), (13.4, 144.9, 3), (13.3, 143.9, 3), (13.2, 143.0, 3), (13.2, 142.0, 3), (13.3, 141.1, 3), (13.6, 140.4, 3), (13.9, 139.8, 3), (14.2, 139.4, 3), (14.4, 139.0, 3), (14.6, 138.3, 3), (14.8, 137.5, 3), (15.0, 136.8, 3), (15.1, 136.3, 3), (15.2, 135.9, 3), (15.3, 135.5, 3), (15.3, 135.0, 3), (15.4, 134.5, 3), (15.5, 134.0, 3), (15.6, 133.4, 3)]",BAVI
2015085N06162,"[(6.9, 157.9, 0), (7.0, 157.6, 3), (7.1, 157.3, 3), (7.2, 157.1, 3), (7.4, 156.8, 3), (7.5, 156.5, 3), (7.6, 156.2, 3), (7.6, 155.7, 3), (7.5, 155.2, 3), (7.4, 154.8, 3), (7.4, 154.5, 3), (7.4, 154.1, 3), (7.4, 153.7, 3), (7.4, 153.4, 3), (7.4, 153.1, 3), (7.4, 152.6, 3), (7.5, 152.0, 3), (7.6, 151.5, 3), (7.7, 150.9, 3), (7.8, 150.3, 3), (7.9, 149.7, 3), (8.0, 149.0, 3), (8.1, 148.2, 3), (8.3, 147.5, 3), (8.5, 146.8, 3), (8.7, 146.3, 3), (8.8, 145.9, 3), (8.9, 145.4, 3), (9.0, 144.9, 3), (9.2, 144.4, 3), (9.4, 143.8, 3), (9.6, 143.2, 3), (9.7, 142.5, 3), (9.9, 141.9, 3), (10.0, 141.3, 3), (10.1, 140.6, 3), (10.2, 139.9, 3), (10.2, 139.3, 3), (10.3, 138.7, 3), (10.5, 138.2, 3), (10.7, 137.7, 3), (10.9, 137.1, 3), (11.2, 136.6, 3), (11.5, 136.1, 3), (11.7, 135.7, 3), (11.9, 135.2, 3), (12.1, 134.7, 3), (12.2, 134.3, 3), (12.4, 134.0, 3), (12.6, 133.7, 3), (12.8, 133.4, 3), (13.0, 133.0, 3), (13.2, 132.5, 3), (13.4, 132.2, 3), (13.6, 131.9, 3), (13.8, 131.5, 3), (13.9, 131.1, 3), (14.0, 130.6, 3), (14.0, 130.0, 3), (14.0, 129.5, 3), (14.1, 129.0, 3), (14.2, 128.5, 3), (14.3, 127.9, 3), (14.4, 127.2, 3), (14.6, 126.5, 3), (14.8, 125.7, 3), (15.0, 125.0, 3), (15.3, 124.4, 3), (15.6, 123.9, 3), (15.8, 123.5, 3), (16.0, 123.1, 3), (16.1, 122.9, 3), (16.4, 122.6, 3), (17.3, 121.9, 3), (18.5, 121.0, 3)]",MAYSAK
2015092N06161,"[(8.5, 152.8, 0), (8.7, 152.6, 3), (8.8, 152.4, 3), (8.9, 152.1, 3), (8.9, 151.9, 3), (8.9, 151.7, 3), (8.9, 151.6, 3), (8.9, 151.4, 3), (8.9, 151.2, 3), (8.9, 151.0, 3), (8.9, 150.9, 3), (8.9, 150.8, 3), (9.0, 150.7, 3), (9.0, 150.6, 3), (9.0, 150.5, 3), (9.0, 150.4, 3), (9.0, 150.3, 3)]",HAISHEN
2015122N07144,"[(7.6, 142.9, 0), (7.6, 142.6, 3), (7.7, 142.4, 3), (7.8, 142.2, 3), (7.9, 142.0, 3), (8.1, 141.9, 3), (8.3, 141.8, 3), (8.6, 141.6, 3), (8.9, 141.3, 3), (9.1, 141.0, 3), (9.3, 140.8, 3), (9.4, 140.6, 3), (9.5, 140.4, 3), (9.6, 140.2, 3), (9.6, 140.0, 3), (9.6, 139.8, 3), (9.6, 139.7, 3), (9.6, 139.6, 3), (9.6, 139.5, 3), (9.6, 139.4, 3), (9.6, 139.2, 3), (9.6, 139.1, 3), (9.6, 138.9, 3), (9.6, 138.8, 3), (9.5, 138.6, 3), (9.4, 138.5, 3), (9.4, 138.3, 3), (9.4, 138.1, 3), (9.4, 137.8, 3), (9.5, 137.4, 3), (9.6, 136.9, 3), (9.7, 136.4, 3), (9.9, 136.0, 3), (10.0, 135.6, 3), (10.1, 135.2, 3), (10.3, 134.8, 3), (10.6, 134.3, 3), (11.0, 133.7, 3), (11.3, 133.1, 3), (11.5, 132.6, 3), (11.6, 132.2, 3), (11.6, 131.8, 3), (11.7, 131.3, 3), (11.9, 130.8, 3), (12.1, 130.3, 3), (12.3, 129.7, 3), (12.6, 129.1, 3), (12.9, 128.6, 3), (13.3, 128.1, 3), (13.6, 127.5, 3), (13.8, 127.0, 3), (14.1, 126.5, 3), (14.4, 126.0, 3), (14.7, 125.6, 3), (14.9, 125.3, 3), (15.1, 124.9, 3), (15.4, 124.6, 3), (15.7, 124.2, 3), (16.1, 123.9, 3), (16.5, 123.6, 3), (17.0, 123.3, 3), (17.4, 123.0, 3), (17.8, 122.7, 3), (18.2, 122.5, 3), (18.6, 122.4, 3), (19.1, 122.2, 3), (19.7, 122.0, 3), (20.2, 121.9, 3), (20.6, 122.0, 3), (21.0, 122.1, 3), (21.6, 122.3, 3), (22.3, 122.8, 3), (23.2, 123.5, 3), (24.1, 124.3, 3), (25.2, 125.4, 3), (26.7, 126.9, 3), (28.2, 128.6, 3), (29.5, 130.5, 3), (30.7, 132.4, 3)]",NOUL
2015127N04158,"[(4.4, 159.0, 0), (4.3, 159.0, 3), (4.2, 159.0, 3), (4.1, 159.1, 3), (4.0, 159.4, 3), (3.9, 159.8, 3), (3.7, 160.1, 3), (3.5, 160.2, 3), (3.4, 160.3, 3), (3.3, 160.6, 3), (3.2, 160.9, 3), (3.2, 161.2, 3), (3.2, 161.4, 3), (3.4, 161.7, 3), (3.6, 162.0, 3), (3.7, 162.1, 3), (3.8, 162.2, 3), (3.9, 162.4, 3), (4.0, 162.5, 3), (4.1, 162.6, 3), (4.3, 162.6, 3), (4.4, 162.6, 3), (4.6, 162.5, 3), (4.8, 162.4, 3), (5.1, 162.1, 3), (5.3, 161.7, 3), (5.6, 161.2, 3), (6.0, 160.6, 3), (6.4, 160.1, 3), (6.6, 160.0, 3), (6.8, 160.1, 3), (7.2, 160.2, 3), (7.7, 160.2, 3), (8.0, 160.2, 3), (8.3, 160.1, 3), (8.7, 160.0, 3), (9.1, 159.9, 3), (9.5, 159.8, 3), (9.8, 159.8, 3), (10.0, 159.7, 3), (10.1, 159.6, 3), (10.2, 159.4, 3), (10.2, 159.1, 3), (10.2, 158.9, 3), (10.1, 158.6, 3), (10.1, 158.3, 3), (10.1, 158.0, 3), (10.1, 157.7, 3), (10.0, 157.5, 3), (9.9, 157.3, 3), (9.9, 157.0, 3), (10.0, 156.6, 3), (10.1, 156.2, 3), (10.2, 155.8, 3), (10.3, 155.4, 3), (10.4, 154.9, 3), (10.6, 154.3, 3), (10.7, 153.9, 3), (10.9, 153.5, 3), (11.2, 152.9, 3), (11.5, 152.2, 3), (11.8, 151.7, 3), (12.0, 151.1, 3), (12.2, 150.4, 3), (12.4, 149.7, 3), (12.5, 149.0, 3), (12.7, 148.3, 3), (13.0, 147.5, 3), (13.3, 146.8, 3), (13.5, 146.2, 3), (13.7, 145.7, 3), (13.9, 145.3, 3), (14.1, 144.8, 3), (14.4, 144.2, 3), (14.7, 143.5, 3), (14.9, 143.0, 3), (15.2, 142.5, 3), (15.5, 142.0, 3), (15.8, 141.5, 3), (16.1, 141.1, 3), (16.5, 140.7, 3), (16.9, 140.2, 3), (17.2, 139.8, 3), (17.5, 139.4, 3), (17.9, 139.1, 3), (18.3, 138.8, 3), (18.7, 138.6, 3), (19.0, 138.5, 3), (19.3, 138.5, 3), (19.6, 138.5, 3), (20.0, 138.5, 3), (20.4, 138.4, 3), (20.8, 138.3, 3), (21.1, 138.2, 3), (21.5, 138.2, 3), (21.9, 138.3, 3), (22.3, 138.4, 3), (22.7, 138.5, 3), (23.1, 138.7, 3), (23.5, 138.9, 3), (23.9, 139.2, 3), (24.2, 139.5, 3), (24.5, 139.8, 3), (25.1, 140.3, 3), (25.7, 140.9, 3), (26.3, 141.5, 3), (26.9, 142.1, 3), (27.5, 142.9, 3), (28.3, 143.8, 3), (29.2, 144.9, 3), (30.2, 146.0, 3), (31.3, 146.9, 3), (32.8, 148.1, 3), (34.9, 150.1, 3), (37.4, 152.6, 3)]",DOLPHIN
2015171N15112,"[(15.2, 112.0, 0), (15.2, 111.8, 3), (15.2, 111.6, 3), (15.2, 111.5, 3), (15.3, 111.5, 3), (15.4, 111.5, 3), (15.6, 111.5, 3), (16.0, 111.5, 3), (16.4, 111.4, 3), (16.6, 111.4, 3), (16.7, 111.4, 3), (16.9, 111.4, 3), (17.1, 111.3, 3), (17.3, 111.3, 3), (17.5, 111.3, 3), (18.0, 111.1, 3), (18.5, 110.9, 3), (18.7, 110.7, 3), (18.8, 110.5, 3), (18.9, 110.2, 3), (19.1, 109.9, 3), (19.4, 109.6, 3), (19.7, 109.3, 3), (19.7, 108.9, 3), (19.7, 108.5, 3), (19.8, 108.1, 3), (19.9, 107.7, 3), (20.0, 107.5, 3), (20.1, 107.3, 3), (20.2, 107.2, 3), (20.3, 107.1, 3), (20.5, 107.0, 3), (20.8, 106.9, 3), (21.1, 106.7, 3), (21.3, 106.5, 3), (21.4, 106.4, 3), (21.4, 106.4, 3)]",KUJIRA
2015180N09160,"[(9.1, 161.1, 0), (9.3, 160.7, 3), (9.5, 160.4, 3), (9.6, 160.1, 3), (9.7, 159.8, 3), (9.8, 159.6, 3), (10.0, 159.1, 3), (10.4, 158.1, 3), (10.8, 157.1, 3), (10.9, 156.6, 3), (10.9, 156.3, 3), (10.9, 155.9, 3), (11.0, 155.5, 3), (11.1, 155.1, 3), (11.1, 154.5, 3), (11.0, 153.5, 3), (10.9, 152.3, 3), (10.8, 151.3, 3), (10.7, 150.5, 3), (10.4, 149.7, 3), (10.2, 149.0, 3), (10.1, 148.7, 3), (10.1, 148.5, 3), (10.2, 148.1, 3), (10.3, 147.9, 3), (10.5, 148.1, 3), (10.7, 148.4, 3), (10.8, 148.5, 3), (11.0, 148.6, 3), (11.4, 148.8, 3), (11.8, 148.8, 3), (12.2, 148.5, 3), (12.6, 148.1, 3), (13.0, 147.6, 3), (13.3, 147.1, 3), (13.5, 146.6, 3), (13.7, 146.2, 3), (13.8, 145.9, 3), (13.8, 145.7, 3), (13.9, 145.5, 3), (14.0, 145.3, 3), (14.0, 145.2, 1), (14.0, 145.2, 1), (13.9, 145.1, 1), (13.9, 145.1, 1), (13.9, 145.0, 1), (14.0, 144.9, 1), (14.6, 144.5, 3), (15.2, 144.0, 3), (15.5, 143.5, 3), (15.7, 143.1, 3), (15.9, 142.7, 3), (16.2, 142.3, 3), (16.6, 141.6, 3), (17.0, 140.8, 3), (17.3, 140.2, 3), (17.5, 139.6, 3), (17.6, 139.1, 3), (17.6, 138.7, 3), (17.7, 138.2, 3), (17.8, 137.6, 3), (18.1, 137.0, 3), (18.4, 136.3, 3), (18.6, 135.7, 3), (18.7, 135.2, 3), (18.9, 134.7, 3), (19.1, 134.3, 3), (19.3, 134.0, 3), (19.5, 133.6, 3), (19.9, 133.1, 3), (20.4, 132.6, 3), (20.7, 132.2, 3), (21.0, 131.7, 3), (21.4, 131.2, 3), (21.8, 130.6, 3), (22.1, 130.0, 3), (22.5, 129.5, 3), (22.9, 129.0, 3), (23.3, 128.6, 3), (23.7, 128.1, 3), (24.2, 127.6, 3), (24.7, 127.1, 3), (25.1, 126.6, 3), (25.4, 126.1, 3), (25.7, 125.6, 3), (26.1, 125.1, 3), (26.6, 124.7, 3), (27.0, 124.3, 3), (27.3, 124.0, 3), (27.5, 123.6, 3), (27.8, 123.3, 3), (28.2, 123.0, 3), (28.7, 122.8, 3), (29.1, 122.6, 3), (29.5, 122.5, 3), (29.9, 122.6, 3), (30.4, 122.8, 3), (30.9, 123.0, 3), (31.6, 123.2, 3), (32.3, 123.4, 3), (33.1, 123.6, 3), (34.0, 123.8, 3), (34.9, 124.1, 3), (35.8, 124.4, 3), (36.8, 124.6, 3), (37.5, 124.8, 3), (38.0, 125.1, 3), (38.7, 125.8, 3), (40.0, 127.0, 3), (42.1, 129.4, 3)]",CHAN-HOM
2015183N13130,"[(13.2, 129.9, 0), (13.5, 129.8, 3), (13.8, 129.7, 3), (14.0, 129.5, 3), (14.2, 129.3, 3), (14.4, 128.9, 3), (14.6, 128.5, 3), (14.8, 128.1, 3), (14.9, 127.6, 3), (15.0, 127.1, 3), (15.1, 126.6, 3), (15.2, 126.3, 3), (15.2, 126.1, 3), (15.2, 125.7, 3), (15.3, 125.4, 3), (15.4, 125.1, 3), (15.5, 124.9, 3), (15.7, 124.7, 3), (15.9, 124.5, 3), (16.2, 124.2, 3), (16.5, 123.9, 3), (16.8, 123.6, 3), (17.0, 123.3, 3), (17.2, 122.9, 3), (17.3, 122.5, 3), (17.4, 122.3, 3), (17.5, 121.9, 3), (17.8, 121.2, 3), (18.0, 120.4, 3), (18.0, 120.0, 3), (17.9, 119.8, 3), (18.0, 119.6, 3), (18.2, 119.5, 3), (18.4, 119.4, 3), (18.7, 119.3, 3), (19.0, 119.3, 3), (19.2, 119.3, 3), (19.4, 119.3, 3), (19.5, 119.3, 3), (19.6, 119.3, 3), (19.8, 119.2, 3), (20.0, 119.1, 3), (20.2, 118.9, 3), (20.4, 118.8, 3), (20.5, 118.8, 3), (20.6, 118.8, 3), (20.8, 118.8, 3), (21.1, 118.8, 3), (21.3, 118.7, 3), (21.4, 118.7, 3), (21.5, 118.7, 3), (21.7, 118.7, 3), (21.9, 118.6, 3), (22.1, 118.5, 3), (22.2, 118.3, 3), (22.4, 118.0, 3), (22.5, 117.7, 3), (22.5, 117.4, 3), (22.6, 117.0, 3), (22.8, 116.4, 3), (22.9, 115.7, 3), (23.0, 115.1, 3), (22.9, 114.4, 3), (22.7, 113.6, 3), (22.4, 112.7, 3), (22.0, 111.9, 3), (21.5, 111.2, 3)]",LINFA
