SID,SEASON,NAME,ISO_TIME,LAT,LON
1884177N17124,1884,UNNAMED,1884-06-24 16:00:00,16.5,124.0
1884177N17124,1884,UNNAMED,1884-06-24 18:00:00,16.5,123.8
1884177N17124,1884,UNNAMED,1884-06-24 21:00:00,16.6,123.5
1884177N17124,1884,UNNAMED,1884-06-25 00:00:00,16.7,123.2
1884177N17124,1884,UNNAMED,1884-06-25 03:00:00,16.8,122.9
1884177N17124,1884,UNNAMED,1884-06-25 04:00:00,16.8,122.8
1884177N17124,1884,UNNAMED,1884-06-25 06:00:00,16.9,122.6
1884177N17124,1884,UNNAMED,1884-06-25 09:00:00,17.0,122.3
1884177N17124,1884,UNNAMED,1884-06-25 12:00:00,17.2,122.0
1884177N17124,1884,UNNAMED,1884-06-25 15:00:00,17.3,121.7
1884177N17124,1884,UNNAMED,1884-06-25 16:00:00,17.4,121.6
1884177N17124,1884,UNNAMED,1884-06-25 18:00:00,17.5,121.4
1884177N17124,1884,UNNAMED,1884-06-25 21:00:00,17.6,121.1
1884177N17124,1884,UNNAMED,1884-06-26 00:00:00,17.8,120.8
1884177N17124,1884,UNNAMED,1884-06-26 03:00:00,17.9,120.5
1884177N17124,1884,UNNAMED,1884-06-26 04:00:00,18.0,120.4
1884177N17124,1884,UNNAMED,1884-06-26 06:00:00,18.1,120.2
1884177N17124,1884,UNNAMED,1884-06-26 09:00:00,18.2,120.0
1884177N17124,1884,UNNAMED,1884-06-26 12:00:00,18.4,119.7
1884177N17124,1884,UNNAMED,1884-06-26 15:00:00,18.5,119.5
1884177N17124,1884,UNNAMED,1884-06-26 16:00:00,18.6,119.4
1884177N17124,1884,UNNAMED,1884-06-26 18:00:00,18.7,119.2
1884177N17124,1884,UNNAMED,1884-06-26 21:00:00,19.0,118.9
1884177N17124,1884,UNNAMED,1884-06-27 00:00:00,19.2,118.7
1884177N17124,1884,UNNAMED,1884-06-27 03:00:00,19.4,118.5
1884177N17124,1884,UNNAMED,1884-06-27 04:00:00,19.5,118.4
1884177N17124,1884,UNNAMED,1884-06-27 06:00:00,19.6,118.3
1884177N17124,1884,UNNAMED,1884-06-27 09:00:00,19.9,118.1
1884177N17124,1884,UNNAMED,1884-06-27 12:00:00,20.1,118.0
1884177N17124,1884,UNNAMED,1884-06-27 15:00:00,20.3,118.0
1884177N17124,1884,UNNAMED,1884-06-27 16:00:00,20.4,118.0
1884177N17124,1884,UNNAMED,1884-06-27 18:00:00,20.6,118.0
1884177N17124,1884,UNNAMED,1884-06-27 21:00:00,20.9,118.1
1884177N17124,1884,UNNAMED,1884-06-28 00:00:00,21.1,118.1
1884177N17124,1884,UNNAMED,1884-06-28 03:00:00,21.4,118.3
1884177N17124,1884,UNNAMED,1884-06-28 04:00:00,21.5,118.3
1884177N17124,1884,UNNAMED,1884-06-28 06:00:00,21.7,118.4
1884177N17124,1884,UNNAMED,1884-06-28 09:00:00,21.9,118.5
1884177N17124,1884,UNNAMED,1884-06-28 12:00:00,22.1,118.6
1884177N17124,1884,UNNAMED,1884-06-28 15:00:00,22.2,118.7
1884177N17124,1884,UNNAMED,1884-06-28 16:00:00,22.3,118.8
1884177N17124,1884,UNNAMED,1884-06-28 18:00:00,22.4,118.9
1884177N17124,1884,UNNAMED,1884-06-28 21:00:00,22.5,119.0
1884177N17124,1884,UNNAMED,1884-06-29 00:00:00,22.6,119.2
1884177N17124,1884,UNNAMED,1884-06-29 03:00:00,22.9,119.4
1884177N17124,1884,UNNAMED,1884-06-29 04:00:00,23.0,119.5
